time;open;high;low;close;tick_volume;spread;real_volume
2000-06-15;0.81;0.83;0.79;0.82;29;0;0
2000-06-16;0.83;0.83;0.79;0.81;27;0;0
2000-06-19;0.8;0.87;0.8;0.86;37;0;0
2000-06-20;0.88;0.92;0.88;0.9;29;0;0
2000-06-21;0.9;1.01;0.9;0.99;58;0;0
2000-06-22;0.99;1.02;0.95;0.96;45;0;0
2000-06-23;0.96;0.97;0.9;0.92;40;0;0
2000-06-26;0.93;0.97;0.92;0.96;27;0;0
2000-06-27;0.96;0.99;0.92;0.92;40;0;0
2000-06-28;0.95;0.99;0.92;0.97;49;0;0
2000-06-29;0.94;0.96;0.91;0.91;28;0;0
2000-06-30;0.94;0.98;0.92;0.93;44;0;0
2000-07-03;0.92;0.97;0.92;0.95;25;0;0
2000-07-05;0.95;0.98;0.9;0.92;53;0;0
2000-07-06;0.93;0.94;0.88;0.92;44;0;0
2000-07-07;0.93;0.98;0.93;0.97;26;0;0
2000-07-10;0.96;1.04;0.96;1.02;43;0;0
2000-07-11;1.01;1.05;0.99;1.01;55;0;0
2000-07-12;1.03;1.05;1.0;1.05;32;0;0
2000-07-13;1.04;1.08;0.97;1.01;71;0;0
2000-07-14;1.02;1.05;1.01;1.03;27;0;0
2000-07-17;1.04;1.05;1.02;1.04;25;0;0
2000-07-18;1.04;1.05;1.01;1.02;22;0;0
2000-07-19;0.98;1.01;0.92;0.93;57;0;0
2000-07-20;0.98;1.02;0.96;0.98;42;0;0
2000-07-21;0.97;0.99;0.94;0.95;33;0;0
2000-07-24;0.93;0.94;0.84;0.86;49;0;0
2000-07-25;0.89;0.9;0.87;0.89;21;0;0
2000-07-26;0.89;0.91;0.88;0.89;27;0;0
2000-07-27;0.89;0.95;0.89;0.92;35;0;0
2000-07-28;0.93;0.93;0.83;0.86;55;0;0
2000-07-31;0.87;0.92;0.87;0.9;31;0;0
2000-08-01;0.89;0.91;0.87;0.88;22;0;0
2000-08-02;0.87;0.89;0.84;0.84;29;0;0
2000-08-03;0.81;0.85;0.79;0.85;38;0;0
2000-08-04;0.88;0.91;0.82;0.84;58;0;0
2000-08-07;0.85;0.87;0.84;0.85;27;0;0
2000-08-08;0.85;0.85;0.82;0.83;17;0;0
2000-08-09;0.86;0.86;0.84;0.85;13;0;0
2000-08-10;0.85;0.86;0.84;0.85;12;0;0
2000-08-11;0.83;0.85;0.81;0.85;29;0;0
