time;open;high;low;close;tick_volume;spread;real_volume
2018-12-12;3354.38;3437.54;3353.3;3388.35;10563;2524;0
2018-12-13;3393.26;3393.26;3288.65;3288.65;18462;2276;0
2018-12-17;3183.22;3259.89;3172.09;3259.03;12612;2388;0
2018-12-24;3935.3;4059.32;3912.28;4042.56;7364;2945;0
2018-12-25;4041.78;4049.36;3963.87;3963.87;1211;2985;0
2018-12-31;3805.92;3825.65;3738.37;3770.98;10467;2815;0
2019-01-01;3772.27;3772.34;3772.23;3772.34;3;2831;0
2019-01-02;3777.15;3900.32;3763.85;3873.59;21503;2833;0
2019-01-03;3873.27;3877.15;3796.6;3796.6;12100;2859;0
2019-01-04;3792.12;3834.56;3723.12;3805.77;17928;2802;0
2019-01-05;3805.76;3852.18;3763.13;3783.7;18584;2833;0
2019-01-06;3783.36;3793.59;3743.85;3752.24;1675;2818;0
2019-01-08;4010.68;4095.6;4008.36;4036.81;3329;3017;0
2019-01-10;3755.25;3773.75;3557.57;3612.09;9722;2679;0
2019-01-11;3612.52;3683.73;3561.35;3621.34;19373;2681;0
2019-01-12;3621.19;3635.49;3548.14;3603.12;16402;2673;0
2019-01-13;3603.29;3630.75;3472.02;3501.06;16721;2614;0
2019-01-14;3501.91;3696.54;3494.75;3650.4;18479;2629;0
2019-01-15;3650.32;3672.57;3531.92;3568.65;17778;2659;0
2019-01-16;3565.97;3652.98;3559.18;3593.52;18798;2216;0
2019-01-17;3595.47;3637.46;3531.76;3636.46;7764;758;0
2019-01-18;3606.97;3622.38;3573.28;3607.39;5820;1000;0
2019-01-20;3511.53;3545.04;3510.8;3528.13;2362;1000;0
2019-01-21;3529.39;3563.69;3486.25;3527.61;14583;1000;0
2019-01-22;3527.58;3606.29;3421.12;3572.01;15198;1000;0
2019-01-23;3571.88;3607.97;3517.26;3548.01;15258;1000;0
2019-01-24;3547.76;3590.83;3523.63;3565.82;20771;1000;0
2019-01-25;3565.49;3573.15;3517.2;3553.51;18932;1000;0
2019-01-27;3542.81;3546.7;3523.51;3526.01;1606;1000;0
2019-01-28;3526.13;3530.31;3359.39;3417.44;22145;1000;0
2019-01-29;3417.5;3425.27;3329.05;3382.72;21623;2526;0
2019-01-30;3382.54;3446.12;3360.37;3422.88;19047;2550;0
2019-01-31;3422.85;3459.31;3383.4;3398.66;17488;100;0
2019-02-01;3398.7;3443.16;3361.35;3423.66;21414;2531;0
2019-02-02;3423.51;3471.2;3401.54;3453.6;15555;2560;0
2019-02-03;3454.0;3458.45;3374.72;3402.88;21682;2541;0
2019-02-04;3402.88;3422.47;3382.65;3398.87;13112;2546;0
2019-02-05;3398.38;3417.13;3386.81;3416.44;13817;2549;0
2019-02-06;3416.49;3431.14;3325.19;3353.96;20614;2503;0
2019-02-07;3353.67;3367.74;3340.38;3346.98;25778;2514;0
2019-02-08;3346.98;3695.65;3330.69;3609.01;24021;2508;0
2019-02-09;3609.35;3625.74;3580.33;3610.14;20331;2695;0
2019-02-10;3610.23;3640.58;3565.92;3634.7;19756;2684;0
2019-02-11;3635.16;3638.3;3565.96;3576.89;17274;2684;0
2019-02-12;3576.61;3604.95;3536.69;3574.6;17822;2663;0
2019-02-13;3574.42;3614.39;3547.86;3561.99;17138;2671;0
2019-02-14;3562.04;3575.89;3523.33;3548.1;17586;2653;0
2019-02-15;3548.11;3602.1;3532.91;3553.56;15694;2660;0
2019-02-16;3553.64;3618.65;3549.83;3567.64;20038;2672;0
2019-02-17;3567.37;3650.81;3544.08;3611.88;19096;2668;0
2019-02-18;3611.73;3900.32;3602.62;3854.37;30250;2712;0
2019-02-19;3854.25;3956.01;3827.71;3874.45;27136;2882;0
2019-02-20;3874.91;3947.63;3851.18;3923.63;20880;2899;0
2019-02-21;3923.61;3971.68;3853.95;3884.9;19169;2901;0
2019-02-22;3884.93;3940.91;3871.33;3926.5;18507;2914;0
2019-02-23;3926.42;4140.51;3897.6;4095.58;20117;2934;0
2019-02-24;4095.53;4172.05;3701.07;3720.32;26443;2786;0
2019-02-25;3720.31;3845.52;3717.13;3804.46;20723;2798;0
2019-02-26;3804.67;3813.76;3750.9;3783.27;17285;2824;0
2019-02-27;3783.16;3808.96;3643.59;3784.31;18552;2743;0
2019-02-28;3784.27;3872.21;3742.71;3777.91;22631;2808;0
2019-03-01;3778.03;3828.58;3777.38;3791.75;15503;2844;0
2019-03-02;3791.6;3803.82;3746.6;3795.81;15195;2820;0
2019-03-03;3795.81;3805.08;3747.58;3773.41;13089;2821;0
2019-03-04;3773.42;3791.17;3658.28;3685.07;18569;2754;0
2019-03-05;3685.27;3859.49;3679.48;3830.63;20513;2770;0
2019-03-06;3831.23;3879.05;3795.77;3837.23;19525;2858;0
2019-03-07;3837.44;3875.34;3815.18;3840.8;17713;2872;0
2019-03-08;3840.61;3895.94;3760.8;3828.33;15146;2831;0
2019-03-09;3828.2;3932.26;3820.75;3902.71;17660;2876;0
2019-03-10;3902.46;3902.48;3853.54;3884.64;13578;2901;0
2019-03-11;3884.88;3897.45;3802.44;3835.31;16067;2863;0
2019-03-12;3835.24;3862.42;3785.74;3846.03;13508;2850;0
2019-03-13;3847.14;3857.63;3811.69;3836.57;11862;2869;0
2019-03-14;3836.51;3885.36;3773.2;3839.49;14857;2842;0
2019-03-15;3839.77;3893.89;3832.62;3886.92;14607;2885;0
2019-03-16;3887.22;4021.96;3885.57;3974.85;14251;2925;0
2019-03-17;3975.03;3976.34;3919.61;3950.52;13924;2950;0
2019-03-18;3950.54;4000.89;3920.89;3955.1;14867;2951;0
2019-03-19;3955.01;3994.68;3935.64;3984.71;11923;2963;0
2019-03-20;3984.85;4029.65;3948.98;4017.15;12675;2973;0
2019-03-21;4017.04;4042.48;3900.45;3959.44;10878;2937;0
2019-03-22;3959.87;3984.36;3947.19;3968.35;7900;2972;0
2019-03-23;3968.28;3985.33;3945.4;3968.0;9665;2970;0
2019-03-24;3968.0;3968.0;3930.47;3954.63;8858;2959;0
2019-03-25;3954.61;3962.3;3844.08;3893.31;9841;2894;0
2019-03-26;3894.06;3906.16;3868.29;3906.04;10359;2912;0
2019-03-27;3905.96;4021.12;3899.06;4011.44;17149;2935;0
2019-03-28;4011.25;4011.36;3979.21;3997.35;10318;2995;0
2019-03-29;3997.34;4085.39;3992.76;4073.27;15499;3006;0
2019-03-30;4074.0;4114.36;4026.79;4078.78;11054;3031;0
2019-03-31;4078.83;4087.25;4061.64;4079.64;8198;3057;0
2019-04-01;4078.84;4132.67;4038.49;4121.49;11718;3040;0
2019-04-02;4121.34;5058.7;4116.35;4882.34;39492;3099;0
2019-04-03;4882.34;5324.95;4792.64;4958.1;46167;3609;0
2019-04-04;4959.34;5053.55;4765.5;4888.65;45797;3588;0
2019-04-05;4888.64;5048.45;4867.87;5020.68;36992;3664;0
2019-04-06;5020.98;5218.42;4891.89;5023.83;37329;3682;0
2019-04-07;5024.46;5248.57;5009.65;5172.97;43418;3771;0
2019-04-08;5172.96;5329.12;5113.77;5267.02;47727;3850;0
2019-04-09;5268.05;5268.14;5126.6;5173.18;36451;3859;0
2019-04-10;5172.5;5442.72;5146.5;5301.18;30911;3874;0
2019-04-11;5301.2;5322.89;4953.12;5021.83;41844;3729;0
2019-04-12;5022.16;5097.34;4892.17;5058.2;33164;3684;0
2019-04-13;5057.8;5100.43;5020.8;5046.62;22301;3780;0
2019-04-14;5046.72;5168.9;4996.93;5142.27;22264;3762;0
2019-04-15;5142.3;5170.53;4931.44;5011.12;28677;3712;0
2019-04-16;5011.14;5209.59;4999.09;5184.53;29502;3763;0
2019-04-17;5182.74;5252.08;5157.56;5212.81;36085;3121;0
2019-04-18;5212.94;5298.94;5206.87;5265.57;39608;3133;0
2019-04-19;5265.53;5342.42;5183.56;5274.03;31544;3120;0
2019-04-20;5274.06;5343.55;5245.92;5303.7;24709;3157;0
2019-04-21;5303.72;5329.87;5199.97;5281.74;32051;3131;0
2019-04-22;5280.35;5424.24;5235.11;5371.34;32824;3151;0
2019-04-23;5371.4;5625.47;5346.85;5516.15;39068;3217;0
2019-04-24;5515.85;5603.36;5359.02;5427.45;50356;3225;0
2019-04-25;5426.77;5494.22;4961.17;5119.41;37167;2985;0
2019-04-26;5117.76;5267.53;5032.07;5140.96;50735;3028;0
2019-04-27;5140.88;5198.61;5101.88;5155.82;24934;3070;0
2019-04-28;5155.85;5198.21;5088.06;5140.03;21578;3062;0
2019-04-29;5141.23;5172.57;5056.98;5133.43;29760;3045;0
2019-04-30;5135.1;5269.14;5116.23;5253.45;32622;3079;0
2019-05-01;5254.53;5341.74;5250.31;5305.29;25494;3159;0
2019-05-02;5305.29;5404.49;5291.95;5373.83;32976;3184;0
2019-05-03;5373.57;5778.95;5349.48;5640.43;61453;3219;0
2019-05-04;5640.72;5819.87;5499.07;5748.73;49265;3309;0
2019-05-05;5748.9;5762.79;5616.47;5698.15;49357;3380;0
2019-05-06;5698.72;5735.12;5549.21;5670.64;53543;3339;0
2019-05-07;5670.69;5947.23;5670.69;5727.12;57891;3412;0
2019-05-08;5730.21;5968.92;5642.62;5926.67;45252;3397;0
2019-05-09;5929.16;6151.39;5917.2;6131.7;58172;3561;0
2019-05-10;6132.8;6408.8;6090.56;6322.95;58994;3665;0
2019-05-11;6322.97;7422.65;6322.97;7199.4;74366;3805;0
2019-05-12;7193.97;7558.74;6748.81;6953.8;96901;4061;0
2019-05-13;6952.52;8134.26;6849.91;7798.16;86775;4122;0
2019-05-14;7798.41;8307.51;7604.39;7967.97;95303;4576;0
2019-05-15;7968.94;8274.1;7815.31;8179.14;80320;4706;0
2019-05-16;8178.38;8354.86;7645.01;7856.92;101319;4601;0
2019-05-17;7856.92;7916.02;6634.07;7335.15;112509;3992;0
2019-05-18;7335.69;7468.54;7185.6;7240.61;87230;4326;0
2019-05-19;7239.66;8274.01;7230.81;8173.66;84730;4351;0
2019-05-20;8173.65;8174.14;7556.59;7976.37;95626;4548;0
2019-05-21;7977.7;8087.99;7785.43;7927.84;78716;4685;0
2019-05-22;7927.47;8016.31;7495.66;7602.37;70513;4513;0
2019-05-23;7599.72;7956.06;7450.06;7856.06;69928;4483;0
2019-05-24;7856.16;8153.36;7775.14;7977.36;59348;4679;0
2019-05-25;7977.26;8124.56;7922.03;8044.52;36553;4767;0
2019-05-26;8044.49;8750.89;7870.46;8712.11;42935;4737;0
2019-05-27;8711.8;8915.75;8654.1;8754.12;49916;3641;0
2019-05-28;8754.68;8794.39;8522.46;8701.48;41836;3566;0
2019-05-29;8700.17;8736.98;8414.85;8646.0;34672;3500;0
2019-05-30;8645.95;9069.55;7986.13;8245.97;52980;3234;0
2019-05-31;8250.31;8558.52;8086.79;8527.51;77603;4866;0
2019-06-01;8527.15;8594.27;8431.6;8529.01;55512;5074;0
2019-06-02;8529.01;8804.75;8519.25;8710.07;46689;5125;0
2019-06-03;8710.07;8715.97;8015.76;8081.42;70688;4824;0
2019-06-04;8081.41;8081.41;7422.34;7646.39;96131;4469;0
2019-06-05;7646.44;7903.08;7557.37;7764.41;89216;4548;0
2019-06-06;7764.09;7850.3;7436.93;7780.6;64640;4475;0
2019-06-07;7781.96;8107.16;7741.16;7976.35;51097;4658;0
2019-06-08;7976.22;8035.68;7763.35;7905.15;62407;4672;0
2019-06-09;7905.16;7937.56;7490.15;7612.88;63146;4508;0
2019-06-10;7613.07;8053.87;7496.57;7996.96;67415;4511;0
2019-06-11;7992.7;8032.29;7690.36;7894.5;57193;4628;0
2019-06-12;7894.87;8252.11;7801.13;8149.98;58627;4695;0
2019-06-13;8150.23;8306.78;8024.58;8212.18;57071;4830;0
2019-06-14;8212.16;8707.55;8157.66;8669.41;64728;4909;0
