time;open;high;low;close;tick_volume;spread;real_volume
2021-05-20;0.42;0.43;0.37;0.39;655;100;0
2021-05-21;0.39;0.4;0.31;0.3545;35262;80;0
2021-05-22;0.3545;0.3587;0.313;0.3381;36899;80;0
2021-05-23;0.3381;0.347;0.2449;0.2958;37004;80;0
2021-05-24;0.3226;0.3712;0.3106;0.3641;24083;40;0
2021-05-25;0.3641;0.3785;0.3208;0.3445;29106;40;0
2021-05-26;0.3445;0.3648;0.3356;0.3512;20355;40;0
2021-05-27;0.3512;0.3515;0.3266;0.3319;15899;40;0
2021-05-28;0.3319;0.3362;0.3008;0.3094;2496;40;0
2021-05-29;0.3094;0.316;0.2783;0.3009;24895;40;0
2021-05-30;0.3009;0.3088;0.285;0.3;20093;40;0
2021-05-31;0.3;0.3276;0.2922;0.3237;19986;40;0
2021-06-01;0.3237;0.382;0.3095;0.3681;25495;40;0
2021-06-02;0.3681;0.4437;0.3494;0.4214;35672;40;0
2021-06-03;0.4214;0.4389;0.3755;0.3988;29243;40;0
2021-06-04;0.3988;0.4;0.3484;0.3745;30854;36;0
2021-06-05;0.3745;0.3926;0.3583;0.3696;24415;36;0
2021-06-06;0.3696;0.3749;0.365;0.3695;14207;36;0
2021-06-07;0.3695;0.3777;0.3261;0.33;17141;32;0
2021-06-08;0.33;0.3399;0.2945;0.3246;25834;29;0
2021-06-09;0.3246;0.3526;0.3109;0.3416;24920;31;0
2021-06-10;0.3416;0.3434;0.3213;0.3244;19387;32;0
2021-06-11;0.3244;0.3318;0.3096;0.3172;14856;31;0
2021-06-12;0.3172;0.3176;0.2996;0.3105;16385;30;0
2021-06-13;0.3105;0.3283;0.3061;0.3275;9900;30;0
2021-06-16;0.3161;0.3162;0.3039;0.3062;6678;30;0
2021-06-17;0.3062;0.312;0.3012;0.3047;6858;30;0
2021-06-18;0.3047;0.3058;0.2786;0.2918;9990;28;0
2021-06-19;0.2918;0.2961;0.2845;0.2845;8726;28;0
2021-06-20;0.2844;0.2881;0.2545;0.286;12008;25;0
2021-06-24;0.2531;0.2677;0.2526;0.2622;2352;25;0
2021-06-25;0.2622;0.2749;0.2278;0.2365;20481;23;0
2021-06-26;0.2365;0.2539;0.2297;0.2444;20082;23;0
2021-06-27;0.2444;0.2519;0.2393;0.2409;11413;24;0
2021-06-28;0.2543;0.2601;0.2527;0.2558;4360;25;0
2021-06-29;0.2558;0.2738;0.253;0.2621;11992;25;0
2021-06-30;0.2621;0.2625;0.2367;0.2527;12286;24;0
2021-07-01;0.2527;0.2595;0.2372;0.2428;12212;24;0
2021-07-02;0.2428;0.2473;0.2374;0.2438;7845;24;0
2021-07-03;0.2438;0.2488;0.241;0.2452;7784;24;0
2021-07-04;0.2452;0.2516;0.2422;0.2478;5780;24;0
2021-07-05;0.2407;0.2431;0.2255;0.2299;6257;22;0
2021-07-06;0.2299;0.2401;0.2283;0.2331;7155;23;0
2021-07-07;0.2331;0.2356;0.2202;0.223;6527;22;0
2021-07-08;0.223;0.2237;0.2016;0.2059;9988;20;0
2021-07-09;0.2059;0.2285;0.1999;0.2187;12449;20;0
2021-07-10;0.2187;0.2268;0.2088;0.2127;9054;21;0
2021-07-11;0.2127;0.2178;0.2097;0.2138;5191;21;0
2021-07-16;0.183;0.1833;0.1704;0.1711;6204;17;0
2021-07-17;0.1711;0.2043;0.1682;0.186;11726;17;0
2021-07-18;0.186;0.1949;0.1801;0.1818;8891;18;0
2021-07-21;0.1836;0.2132;0.1834;0.1895;10256;18;0
2021-07-22;0.1895;0.1951;0.1861;0.1903;7242;18;0
2021-07-23;0.1903;0.1986;0.1825;0.1939;6408;18;0
2021-07-24;0.194;0.2035;0.1904;0.1961;8655;19;0
2021-07-25;0.1961;0.1997;0.1904;0.194;7216;19;0
2021-07-27;0.2015;0.2059;0.1965;0.205;3510;19;0
2021-07-28;0.205;0.2126;0.2009;0.2046;7832;20;0
2021-07-29;0.2046;0.2055;0.1995;0.204;5084;20;0
2021-07-30;0.204;0.2079;0.1952;0.2077;6073;19;0
2021-07-31;0.2077;0.2133;0.2039;0.2068;6339;20;0
2021-08-01;0.2068;0.2168;0.2054;0.21;6958;20;0
2021-08-02;0.206;0.206;0.2009;0.2023;3895;20;0
2021-08-03;0.2023;0.2032;0.1926;0.1951;4623;19;0
2021-08-04;0.1952;0.2021;0.1933;0.2004;4452;19;0
2021-08-05;0.2004;0.2012;0.1935;0.2;5168;19;0
2021-08-06;0.2;0.2107;0.1979;0.2037;5293;20;0
2021-08-07;0.2037;0.2615;0.2027;0.2607;16986;20;0
2021-08-08;0.2607;0.2812;0.234;0.2404;20767;23;0
2021-08-09;0.2533;0.265;0.2444;0.2551;8297;24;0
2021-08-10;0.2551;0.2617;0.2442;0.2561;11372;24;0
2021-08-11;0.2561;0.2814;0.2553;0.2635;13245;25;0
2021-08-12;0.2635;0.2758;0.2507;0.2628;15388;25;0
2021-08-13;0.2628;0.286;0.2604;0.2854;11048;26;0
2021-08-14;0.2854;0.2971;0.275;0.2927;18693;27;0
2021-08-15;0.2927;0.3231;0.2855;0.323;21241;28;0
2021-08-16;0.3337;0.3498;0.3088;0.318;17747;31;0
2021-08-17;0.318;0.3365;0.2935;0.2977;19006;29;0
2021-08-18;0.2977;0.3233;0.2826;0.3019;18335;28;0
2021-08-19;0.3019;0.3177;0.2936;0.3162;12640;29;0
2021-08-20;0.3162;0.3274;0.3136;0.3257;2246;31;0
2021-08-21;0.3257;0.3279;0.3132;0.3154;15579;31;0
2021-08-22;0.3154;0.32;0.3037;0.3073;12825;30;0
2021-08-23;0.3181;0.3264;0.3116;0.3165;10429;31;0
2021-08-24;0.3165;0.318;0.2752;0.2875;12707;27;0
2021-08-25;0.2875;0.2953;0.2783;0.2912;11756;28;0
2021-08-26;0.2912;0.2922;0.2631;0.2671;12164;26;0
2021-08-27;0.2671;0.2933;0.264;0.2932;9842;26;0
2021-08-28;0.2932;0.2979;0.2818;0.2844;9977;28;0
2021-08-29;0.2844;0.2905;0.2752;0.2821;8992;27;0
2021-08-31;0.2691;0.2844;0.2691;0.2768;8636;27;0
2021-09-01;0.2768;0.2934;0.2745;0.293;8608;27;0
2021-09-02;0.293;0.308;0.2905;0.293;10570;29;0
2021-09-03;0.293;0.3033;0.2896;0.2947;9588;29;0
2021-09-04;0.2947;0.3071;0.2919;0.2978;11552;29;0
2021-09-05;0.2978;0.3126;0.295;0.3092;9959;29;0
2021-09-06;0.3052;0.31;0.3031;0.3076;4363;30;0
2021-09-07;0.3076;0.3098;0.2142;0.2534;17825;21;0
2021-09-08;0.2535;0.2618;0.2328;0.2555;14796;23;0
2021-09-09;0.2555;0.2583;0.2477;0.2513;8509;25;0
2021-09-10;0.2513;0.2552;0.2344;0.2384;9314;23;0
2021-09-11;0.2384;0.2466;0.2368;0.2398;8270;23;0
2021-09-12;0.2398;0.2468;0.2376;0.2391;5879;24;0
2021-09-13;0.2382;0.2438;0.2273;0.2347;8973;23;0
2021-09-14;0.2347;0.2403;0.2331;0.2394;6159;23;0
2021-09-15;0.2394;0.247;0.2382;0.2465;4263;24;0
2021-09-16;0.2465;0.2467;0.2322;0.2408;5912;23;0
2021-09-17;0.2408;0.2583;0.2365;0.2388;8943;23;0
2021-09-18;0.2388;0.2462;0.2369;0.2402;6601;24;0
2021-09-19;0.2402;0.2402;0.2324;0.2356;4828;23;0
2021-09-21;0.2102;0.2171;0.1968;0.1998;9158;19;0
2021-09-22;0.1998;0.2291;0.1994;0.2235;10636;20;0
2021-09-23;0.2235;0.2261;0.2167;0.2235;7742;21;0
2021-09-24;0.2235;0.2264;0.196;0.2083;10949;19;0
2021-09-25;0.2083;0.2116;0.2035;0.2074;9573;20;0
2021-09-26;0.2074;0.2079;0.1933;0.207;8273;19;0
2021-09-28;0.1996;0.2017;0.1952;0.1956;4774;19;0
2021-09-29;0.1956;0.2031;0.1938;0.1976;4801;19;0
2021-09-30;0.1976;0.2047;0.1966;0.2033;4103;19;0
2021-10-01;0.2033;0.2239;0.2017;0.2217;6390;20;0
2021-10-02;0.2217;0.2237;0.2142;0.2176;7154;21;0
2021-10-03;0.2176;0.2254;0.2146;0.2205;6267;21;0
2021-10-04;0.2139;0.2472;0.2117;0.2401;11454;21;0
2021-10-05;0.2401;0.2663;0.2319;0.2506;13195;23;0
2021-10-06;0.2505;0.2702;0.2415;0.253;14333;24;0
2021-10-07;0.253;0.2556;0.2393;0.2417;10366;24;0
2021-10-08;0.2417;0.2535;0.2411;0.2423;8312;24;0
2021-10-09;0.2423;0.2495;0.2402;0.2454;7041;24;0
2021-10-10;0.2454;0.2473;0.2367;0.2386;5736;24;0
2021-10-11;0.2338;0.2382;0.224;0.2301;6128;22;0
2021-10-12;0.2301;0.2305;0.2155;0.225;5858;21;0
2021-10-13;0.225;0.2328;0.2196;0.2314;6321;22;0
2021-10-14;0.2314;0.2377;0.2301;0.2314;4292;23;0
2021-10-15;0.2314;0.2421;0.2236;0.2328;7390;22;0
2021-10-16;0.2328;0.2442;0.2327;0.236;7148;23;0
2021-10-17;0.236;0.2397;0.2251;0.2297;5564;22;0
2021-10-18;0.2587;0.2609;0.2428;0.246;8297;24;0
2021-10-19;0.246;0.2482;0.2392;0.2442;5550;24;0
2021-10-20;0.2442;0.2603;0.2422;0.2535;7189;24;0
2021-10-21;0.2535;0.2562;0.2402;0.2412;7806;24;0
2021-10-22;0.2412;0.2515;0.2361;0.2432;3516;23;0
2021-10-23;0.2432;0.2523;0.2399;0.2499;7611;24;0
2021-10-24;0.2499;0.2689;0.2447;0.2585;11650;24;0
2021-10-25;0.2622;0.2668;0.2581;0.2636;3811;26;0
2021-10-26;0.2636;0.2726;0.2512;0.2545;7891;25;0
2021-10-27;0.2545;0.2601;0.2172;0.236;17701;22;0
2021-10-28;0.236;0.3379;0.236;0.2982;33926;23;0
2021-10-29;0.2982;0.3053;0.2772;0.2864;14232;28;0
2021-10-30;0.2864;0.2932;0.2569;0.2676;13727;26;0
2021-10-31;0.2676;0.2809;0.2511;0.2719;14699;25;0
2021-11-01;0.2699;0.2739;0.2659;0.2705;4355;26;0
2021-11-02;0.2705;0.2796;0.2692;0.2726;8006;27;0
2021-11-03;0.2726;0.2761;0.2616;0.2677;7654;26;0
2021-11-04;0.2677;0.2696;0.2532;0.262;8393;25;0
2021-11-05;0.262;0.2694;0.2559;0.2598;7269;25;0
2021-11-06;0.2598;0.2663;0.2491;0.2606;8105;25;0
2021-11-07;0.2606;0.2684;0.2575;0.2631;5745;26;0
2021-11-08;0.273;0.2954;0.2697;0.2808;11177;27;0
2021-11-09;0.2808;0.2821;0.278;0.2796;353;28;0
2021-11-12;0.2577;0.2585;0.2567;0.2582;337;26;0
2021-11-13;0.2582;0.261;0.2532;0.26;5590;25;0
2021-11-14;0.26;0.2701;0.259;0.2606;5910;26;0
2021-11-16;0.2405;0.2441;0.2228;0.2359;6566;22;0
2021-11-17;0.2359;0.2401;0.2317;0.2364;6744;23;0
2021-11-18;0.2364;0.2372;0.2147;0.2205;10774;21;0
2021-11-19;0.2205;0.2359;0.2191;0.2321;7470;22;0
2021-11-20;0.2321;0.2348;0.2245;0.2321;8035;22;0
2021-11-21;0.2321;0.2327;0.226;0.2286;5985;22;0
2021-11-22;0.222;0.2262;0.2159;0.2186;6235;21;0
2021-11-23;0.2186;0.2356;0.2131;0.2259;9600;21;0
2021-11-24;0.2259;0.2265;0.225;0.2253;190;22;0
2021-11-25;0.2163;0.2165;0.2163;0.2164;3;21;0
2021-11-26;0.203;0.2047;0.2;0.201;720;20;0
2021-11-27;0.201;0.2084;0.2004;0.2041;6443;20;0
2021-11-28;0.2041;0.2041;0.1907;0.1993;7052;19;0
2021-11-30;0.2151;0.2238;0.2118;0.2134;7691;21;0
2021-12-01;0.2134;0.2179;0.2049;0.2084;7926;20;0
2021-12-02;0.2084;0.2221;0.2008;0.2085;10388;20;0
2021-12-03;0.2085;0.2111;0.1901;0.1991;8697;19;0
2021-12-04;0.1991;0.1994;0.1327;0.178;19674;13;0
2021-12-05;0.178;0.1806;0.1618;0.1686;14506;16;0
2021-12-06;0.1656;0.1799;0.1633;0.1775;7030;16;0
2021-12-07;0.1775;0.1829;0.1742;0.1756;8652;17;0
2021-12-08;0.1756;0.1813;0.1716;0.1783;7149;17;0
2021-12-09;0.1783;0.1816;0.1681;0.1683;7107;17;0
2021-12-10;0.1683;0.1737;0.1629;0.1633;6552;16;0
2021-12-11;0.1633;0.1692;0.1606;0.168;6722;16;0
2021-12-12;0.168;0.1725;0.1649;0.1707;4835;16;0
2021-12-13;0.1645;0.165;0.1508;0.1565;6059;15;0
2021-12-14;0.1565;0.2182;0.1543;0.1901;16662;15;0
2021-12-15;0.1901;0.1902;0.1698;0.18;9139;17;0
2021-12-16;0.18;0.1843;0.1715;0.1724;5659;17;0
2021-12-17;0.1724;0.1756;0.1608;0.1679;6402;16;0
2021-12-18;0.1679;0.1746;0.1653;0.1715;5901;16;0
2021-12-19;0.1715;0.1737;0.1686;0.1691;4229;17;0
2021-12-21;0.1699;0.1716;0.1672;0.17;2808;17;0
2021-12-22;0.17;0.1754;0.1696;0.1722;666;17;0
2021-12-23;0.1722;0.184;0.1705;0.184;1819;17;0
2021-12-24;0.184;0.19;0.1815;0.1855;934;18;0
2021-12-25;0.1855;0.1941;0.1841;0.1898;6558;18;0
2021-12-26;0.1898;0.191;0.1843;0.1892;4037;18;0
2021-12-27;0.1905;0.1918;0.186;0.187;2494;18;0
2021-12-28;0.187;0.1871;0.1712;0.1729;5075;17;0
2021-12-29;0.1729;0.1762;0.1656;0.1671;4879;16;0
2021-12-30;0.1671;0.1681;0.1644;0.1677;320;16;0
2021-12-31;0.1696;0.1704;0.1691;0.1695;330;17;0
2022-01-01;0.1695;0.1728;0.1689;0.1723;3908;17;0
2022-01-02;0.1723;0.1753;0.1698;0.1726;3300;17;0
2022-01-03;0.1711;0.1716;0.1667;0.1694;1988;16;0
2022-01-04;0.1694;0.1716;0.1659;0.1676;3488;16;0
2022-01-05;0.1676;0.1701;0.1468;0.1581;5938;14;0
2022-01-06;0.1581;0.1613;0.1538;0.1592;5004;15;0
2022-01-07;0.1592;0.1595;0.1531;0.1542;511;15;0
2022-01-08;0.1542;0.157;0.1448;0.1502;5964;14;0
2022-01-09;0.1502;0.153;0.1479;0.1521;4198;15;0
2022-01-10;0.1508;0.1511;0.1367;0.1424;5592;13;0
2022-01-11;0.1424;0.1659;0.1411;0.1529;7148;14;0
2022-01-12;0.1529;0.1545;0.1526;0.153;197;15;0
2022-01-14;0.1887;0.1895;0.1811;0.1823;866;18;0
