time;open;high;low;close;tick_volume;spread;real_volume
2019-05-24;251.19;251.27;250.89;250.89;19;201;0
2019-05-27;267.33;278.28;263.6;270.38;7925;211;0
2019-05-28;270.28;275.57;263.87;270.19;11863;212;0
2019-05-29;270.14;272.99;258.98;268.43;11436;208;0
2019-05-30;268.43;287.69;238.85;253.41;74431;192;0
2019-05-31;253.49;267.4;244.18;266.45;84237;196;0
2019-06-01;266.46;273.55;260.2;263.62;74212;209;0
2019-06-02;263.64;272.77;263.0;268.2;65901;211;0
2019-06-03;268.19;269.09;246.09;248.69;66367;197;0
2019-06-04;248.66;249.89;232.81;239.97;83365;187;0
2019-06-05;239.98;248.07;236.54;245.2;74537;190;0
2019-06-06;245.19;250.09;234.79;248.38;55581;188;0
2019-06-07;248.45;253.11;243.81;248.45;50496;196;0
2019-06-08;248.47;250.0;240.78;243.28;45180;193;0
2019-06-09;243.28;244.05;225.77;230.38;47343;181;0
2019-06-10;230.36;247.29;226.47;246.84;64036;182;0
2019-06-11;246.77;248.03;236.41;244.3;55895;190;0
2019-06-12;244.28;262.51;242.16;261.8;53483;194;0
2019-06-13;261.8;263.46;253.29;254.27;50694;203;0
2019-06-14;254.29;264.93;251.45;262.66;42368;202;0
2019-06-15;262.67;272.14;260.77;268.19;37709;5;0
2019-06-16;268.18;277.73;262.31;267.36;50692;210;0
2019-06-17;267.32;274.63;266.65;272.76;50342;214;0
2019-06-18;272.75;273.09;259.98;263.29;47197;209;0
2019-06-19;263.26;268.96;262.41;267.77;34728;210;0
2019-06-20;267.76;273.46;265.39;270.87;32412;213;0
2019-06-21;270.88;295.67;270.87;294.9;59637;217;0
2019-06-22;294.91;313.97;292.78;307.6;84913;234;0
2019-06-23;307.3;316.69;303.1;305.39;55424;243;0
2019-06-24;305.37;311.66;294.08;309.78;88452;236;0
2019-06-25;309.77;316.03;304.75;315.34;77285;245;0
2019-06-26;315.38;361.9;313.04;333.34;100623;251;0
2019-06-27;333.35;341.91;273.59;292.53;99747;192;0
2019-06-28;292.52;311.41;288.87;308.29;84907;203;0
2019-06-29;308.28;308.33;290.46;305.71;40668;204;0
2019-07-07;287.73;309.67;285.8;305.18;38527;200;0
2019-07-08;305.19;313.81;301.41;312.07;48465;211;0
2019-07-09;312.07;317.43;302.11;306.82;51735;212;0
2019-07-10;306.8;313.71;280.95;287.69;67792;197;0
2019-07-11;287.69;287.69;261.57;267.62;81516;183;0
2019-07-12;267.91;278.42;265.43;274.52;72555;186;0
2019-07-13;274.51;274.99;261.21;267.99;63389;183;0
2019-07-14;268.1;268.93;221.98;225.03;66751;156;0
2019-07-15;225.04;234.82;202.34;227.54;81422;142;0
2019-07-16;227.52;233.83;190.05;198.2;87870;133;0
2019-07-17;198.21;219.24;191.59;210.65;83337;134;0
2019-07-18;210.66;229.06;205.82;225.47;66733;144;0
2019-07-19;225.48;225.95;212.66;220.51;56823;149;0
2019-07-20;220.52;235.01;219.56;228.07;47033;154;0
2019-07-21;228.06;229.07;216.7;224.74;46462;152;0
2019-07-22;224.78;227.34;210.99;216.4;51631;148;0
2019-07-23;216.41;218.34;207.73;211.35;38547;146;0
2019-07-24;211.32;217.37;200.46;215.77;50252;141;0
2019-07-25;215.77;225.02;214.85;218.47;36843;151;0
2019-07-26;218.4;219.85;212.06;218.55;30971;149;0
2019-07-27;218.56;223.04;201.9;206.37;39899;10;0
2019-07-28;206.45;212.6;197.25;210.51;38303;138;0
2019-07-29;210.53;214.51;205.57;209.95;38534;144;0
2019-07-30;209.95;213.77;203.7;209.09;33406;143;0
2019-07-31;209.1;218.11;208.82;217.91;32071;146;0
2019-08-01;217.87;218.46;210.28;216.76;29680;147;0
2019-08-02;216.75;221.99;214.26;217.01;24520;150;0
2019-08-03;217.02;223.92;215.81;221.22;28852;151;0
2019-08-04;221.28;223.0;216.8;222.07;39372;152;0
2019-08-05;222.06;236.0;222.06;232.16;37049;156;0
2019-08-06;232.16;238.66;221.7;225.12;34195;156;0
2019-08-07;225.12;230.3;219.97;225.25;35146;154;0
2019-08-08;225.26;225.76;214.14;220.21;28462;150;0
2019-08-09;220.09;220.46;205.95;209.55;29613;144;0
2019-08-10;209.56;213.83;200.28;205.31;29446;10;0
2019-08-11;205.31;215.87;204.97;215.42;23542;144;0
2019-08-12;215.45;215.73;208.93;210.55;21373;146;0
2019-08-13;210.54;210.54;202.19;207.79;24823;142;0
2019-08-14;207.77;208.38;181.42;185.67;30993;127;0
2019-08-15;185.68;188.96;173.23;187.44;42359;121;0
2019-08-16;187.4;187.49;177.66;184.59;37043;125;0
2019-08-17;184.55;186.21;181.39;184.97;31770;10;0
2019-08-18;184.96;197.3;182.7;193.94;23084;128;0
2019-08-19;193.94;202.85;192.44;201.68;29278;135;0
2019-08-20;201.69;202.12;193.94;195.85;23783;136;0
2019-08-21;195.83;196.44;179.54;186.6;29503;126;0
2019-08-22;186.62;194.34;182.05;189.83;29204;128;0
2019-08-23;189.82;195.97;188.0;193.86;24939;132;0
2019-08-24;193.85;193.88;185.46;190.2;17038;130;0
2019-08-25;190.21;192.16;182.39;185.85;11594;128;0
2019-08-26;185.91;193.6;184.99;187.69;14704;130;0
2019-08-27;187.7;188.34;183.86;186.37;13568;129;0
2019-08-28;186.38;187.37;165.32;172.22;13680;116;0
2019-08-29;172.21;172.84;163.27;168.27;17286;114;0
2019-08-30;168.33;169.82;165.09;167.78;12839;116;0
2019-08-31;167.79;174.29;165.5;171.25;11786;116;0
2019-09-01;171.24;173.12;167.41;170.7;8251;117;0
2019-09-02;170.69;180.96;169.98;178.03;11347;119;0
2019-09-03;178.05;182.31;174.73;178.49;12864;122;0
2019-09-04;178.51;179.84;173.27;174.29;14560;121;0
2019-09-05;174.31;175.16;169.38;173.4;11594;119;0
2019-09-06;173.39;177.89;164.77;168.61;16114;115;0
2019-09-07;168.62;180.43;167.79;177.63;9850;118;0
2019-09-08;177.64;183.92;176.03;181.06;11295;123;0
2019-09-09;180.85;185.15;175.39;180.2;14162;123;0
2019-09-10;180.05;183.83;176.07;179.07;14576;123;0
2019-09-11;179.05;181.48;173.91;177.74;12468;122;0
2019-09-12;177.76;182.09;175.81;180.47;8860;123;0
2019-09-13;180.43;181.17;177.03;180.74;9435;124;0
2019-09-14;180.82;188.64;179.64;188.22;6456;126;0
2019-09-15;188.23;190.3;185.86;188.64;8543;130;0
2019-09-16;188.62;198.76;187.78;196.9;10919;132;0
2019-09-17;196.91;214.25;195.46;207.14;13278;137;0
2019-09-18;207.04;216.62;207.04;209.62;14714;145;0
2019-09-19;209.61;223.59;201.5;220.06;14885;141;0
2019-09-20;220.06;221.4;211.5;217.35;14217;148;0
2019-09-21;217.34;220.67;212.56;214.19;12072;149;0
2019-09-22;214.14;214.58;205.39;210.34;12551;144;0
2019-09-23;210.48;210.91;197.76;200.33;14241;139;0
2019-09-24;200.41;201.96;152.5;165.66;18851;107;0
2019-09-25;165.61;174.35;161.85;169.37;19340;113;0
2019-09-26;169.36;170.33;152.08;165.35;17400;107;0
2019-09-27;165.35;176.54;160.7;173.7;16522;113;0
2019-09-28;173.71;175.31;167.98;173.29;12218;118;0
2019-09-29;173.27;174.23;163.92;168.76;12176;115;0
2019-09-30;168.77;180.9;164.68;180.6;17460;115;0
2019-10-01;180.67;185.2;173.19;175.59;20042;121;0
2019-10-02;175.54;180.99;173.54;180.25;15308;122;0
2019-10-03;180.25;180.63;169.18;174.39;13632;119;0
2019-10-04;174.39;178.79;170.38;175.31;13920;119;0
2019-10-05;175.3;176.41;171.67;176.04;10653;120;0
2019-10-06;176.13;176.52;167.37;169.56;12985;117;0
2019-10-07;169.56;181.96;168.1;179.58;16874;118;0
2019-10-08;179.66;184.61;176.95;180.24;15777;124;0
2019-10-09;180.15;195.34;178.68;192.56;17767;125;0
2019-10-10;192.55;194.14;186.77;191.12;17137;131;0
2019-10-11;191.14;196.87;178.84;180.21;17448;125;0
2019-10-12;180.17;184.21;176.89;179.2;10150;124;0
2019-10-13;179.19;184.22;178.2;180.46;10068;125;0
2019-10-14;180.47;187.14;179.91;186.31;12376;126;0
2019-10-15;186.32;187.77;177.0;179.89;14109;124;0
2019-10-16;179.94;180.52;171.2;173.88;13704;120;0
2019-10-17;173.89;178.4;172.1;176.71;14588;121;0
2019-10-18;176.69;176.84;167.84;172.4;14097;118;0
2019-10-19;172.38;174.35;169.24;171.44;10593;119;0
2019-10-20;171.41;176.08;168.78;175.01;9105;118;0
2019-10-21;174.94;177.45;171.23;173.72;12765;120;0
2019-10-22;173.7;174.86;169.89;170.72;15896;119;0
2019-10-23;170.69;170.85;152.87;161.83;15766;107;0
2019-10-24;161.83;163.37;158.5;160.08;13805;111;0
2019-10-25;160.07;186.91;160.01;181.18;19105;112;0
2019-10-26;181.21;198.26;173.17;179.39;23871;121;0
2019-10-27;179.42;188.46;176.36;183.6;18679;124;0
2019-10-28;183.64;189.26;180.24;181.35;21254;126;0
2019-10-29;181.37;192.45;180.96;190.43;20867;127;0
2019-10-30;190.41;191.58;179.48;182.76;21132;126;0
2019-10-31;182.78;184.92;177.3;181.82;20153;124;0
2019-11-01;181.76;184.19;176.9;182.6;14724;124;0
2019-11-02;182.77;185.43;181.4;182.41;11588;127;0
2019-11-03;182.46;184.35;178.52;180.99;11276;125;0
2019-11-04;181.01;188.72;179.86;185.57;12624;126;0
