time;open;high;low;close;tick_volume;spread;real_volume
2021-11-02 01:00:00;0.84931;0.84944;0.84916;0.84943;343;3;0
2021-11-02 02:00:00;0.84943;0.84962;0.84924;0.84954;1157;2;0
2021-11-02 03:00:00;0.84953;0.8496;0.84934;0.84952;1232;1;0
2021-11-02 04:00:00;0.84952;0.84962;0.84925;0.84937;786;1;0
2021-11-02 05:00:00;0.84937;0.84992;0.84932;0.84965;1608;2;0
2021-11-02 06:00:00;0.84966;0.85005;0.84944;0.84946;912;1;0
2021-11-02 07:00:00;0.84948;0.85003;0.84943;0.85;1424;1;0
2021-11-02 08:00:00;0.85;0.85053;0.84978;0.84994;2418;0;0
2021-11-02 09:00:00;0.84995;0.85045;0.84949;0.84987;3400;1;0
2021-11-02 10:00:00;0.84986;0.85039;0.84921;0.84999;4838;0;0
2021-11-02 11:00:00;0.84998;0.85042;0.84929;0.85023;3738;0;0
2021-11-02 12:00:00;0.85022;0.85135;0.84985;0.85098;2601;0;0
2021-11-02 13:00:00;0.85099;0.85099;0.85007;0.8501;3026;1;0
2021-11-02 14:00:00;0.8501;0.85021;0.84946;0.84961;4089;0;0
2021-11-02 15:00:00;0.84961;0.85042;0.84927;0.85023;4206;1;0
2021-11-02 16:00:00;0.85023;0.85124;0.84986;0.85072;4480;0;0
2021-11-02 17:00:00;0.85072;0.85135;0.85046;0.8508;4193;1;0
2021-11-02 18:00:00;0.85081;0.85105;0.85047;0.85087;2854;0;0
2021-11-02 19:00:00;0.85086;0.8509;0.85042;0.85049;1454;0;0
2021-11-02 20:00:00;0.85049;0.85067;0.85005;0.85046;1844;0;0
2021-11-02 21:00:00;0.85046;0.85069;0.85025;0.85066;1473;2;0
2021-11-02 22:00:00;0.85067;0.85067;0.8504;0.8504;743;1;0
2021-11-02 23:00:00;0.84982;0.85041;0.84932;0.85008;227;61;0
2021-11-03 00:00:00;0.84986;0.85053;0.84986;0.85036;283;7;0
2021-11-03 01:00:00;0.85036;0.85054;0.85033;0.85033;283;5;0
2021-11-03 02:00:00;0.85033;0.85041;0.85016;0.85024;781;1;0
2021-11-03 03:00:00;0.85025;0.85027;0.84973;0.84979;1068;1;0
2021-11-03 04:00:00;0.84978;0.8504;0.84977;0.85016;1117;1;0
2021-11-03 05:00:00;0.85015;0.85015;0.84956;0.84964;612;0;0
2021-11-03 06:00:00;0.84964;0.84985;0.84954;0.84979;640;1;0
2021-11-03 07:00:00;0.8498;0.84994;0.84973;0.84993;789;2;0
2021-11-03 08:00:00;0.84994;0.84994;0.84958;0.84963;973;1;0
2021-11-03 09:00:00;0.84962;0.85028;0.84962;0.85021;2272;0;0
2021-11-03 10:00:00;0.85021;0.85126;0.85021;0.85056;3385;0;0
2021-11-03 11:00:00;0.85056;0.8512;0.85023;0.85075;2836;0;0
2021-11-03 12:00:00;0.85072;0.85089;0.84999;0.85073;2832;0;0
2021-11-03 13:00:00;0.85072;0.85073;0.84855;0.84864;2395;0;0
2021-11-03 14:00:00;0.84863;0.8488;0.84778;0.84814;4505;1;0
2021-11-03 15:00:00;0.84815;0.84855;0.84793;0.84799;3834;0;0
2021-11-03 16:00:00;0.84797;0.84821;0.84723;0.84756;5180;0;0
2021-11-03 17:00:00;0.84756;0.8481;0.84743;0.84809;3527;0;0
2021-11-03 18:00:00;0.84808;0.84809;0.84752;0.84771;2387;1;0
2021-11-03 19:00:00;0.84771;0.84822;0.84739;0.84783;1547;1;0
2021-11-03 20:00:00;0.84781;0.84884;0.84753;0.84878;13121;0;0
2021-11-03 21:00:00;0.84879;0.84879;0.84807;0.84834;6249;1;0
2021-11-03 22:00:00;0.84833;0.84855;0.84813;0.84835;1771;1;0
2021-11-03 23:00:00;0.84747;0.8483;0.84743;0.84815;104;68;0
2021-11-04 00:00:00;0.84816;0.84854;0.84792;0.84805;283;5;0
2021-11-04 01:00:00;0.84805;0.84829;0.84796;0.84812;431;3;0
2021-11-04 02:00:00;0.84813;0.84883;0.84806;0.84881;1442;1;0
2021-11-04 03:00:00;0.84882;0.84885;0.84852;0.84862;1251;1;0
2021-11-04 04:00:00;0.84862;0.84882;0.84841;0.84868;963;1;0
2021-11-04 05:00:00;0.84869;0.84907;0.84854;0.84857;1286;2;0
2021-11-04 06:00:00;0.84856;0.84897;0.84855;0.84868;837;2;0
2021-11-04 07:00:00;0.84869;0.84871;0.84833;0.84857;1085;2;0
2021-11-04 08:00:00;0.84856;0.84857;0.84769;0.84791;1795;1;0
2021-11-04 09:00:00;0.84788;0.84815;0.84702;0.84718;2885;0;0
2021-11-04 10:00:00;0.84717;0.84737;0.84651;0.84669;5429;0;0
2021-11-04 11:00:00;0.84667;0.84781;0.84663;0.8477;3397;0;0
2021-11-04 12:00:00;0.84771;0.84791;0.84683;0.84684;2907;1;0
2021-11-04 13:00:00;0.84683;0.84784;0.84613;0.8466;3267;0;0
2021-11-04 14:00:00;0.8466;0.85408;0.8466;0.8536;12028;1;0
2021-11-04 15:00:00;0.85358;0.85458;0.85305;0.85395;6844;0;0
2021-11-04 16:00:00;0.85395;0.85552;0.85391;0.8548;6635;0;0
2021-11-04 17:00:00;0.85479;0.85647;0.85447;0.8557;6904;0;0
2021-11-04 18:00:00;0.85569;0.85578;0.85452;0.8556;4430;1;0
2021-11-04 19:00:00;0.85562;0.85632;0.85553;0.85581;2583;0;0
2021-11-04 20:00:00;0.8558;0.85619;0.85565;0.85616;2036;0;0
2021-11-04 21:00:00;0.85617;0.85618;0.85562;0.85585;1403;1;0
2021-11-04 22:00:00;0.85585;0.85617;0.85571;0.85586;1455;1;0
2021-11-04 23:00:00;0.85542;0.85565;0.85542;0.85551;73;67;0
2021-11-05 00:00:00;0.85551;0.85587;0.85536;0.85546;414;4;0
2021-11-05 01:00:00;0.85545;0.85551;0.8552;0.8554;613;2;0
2021-11-05 02:00:00;0.8554;0.85603;0.85531;0.85575;1602;1;0
2021-11-05 03:00:00;0.85574;0.85649;0.85572;0.85642;1788;1;0
2021-11-05 04:00:00;0.85642;0.85649;0.85566;0.85576;1200;1;0
2021-11-05 05:00:00;0.85576;0.85587;0.85513;0.85531;880;1;0
2021-11-05 06:00:00;0.85529;0.85636;0.85528;0.85632;867;2;0
2021-11-05 07:00:00;0.85631;0.85644;0.85612;0.85629;727;1;0
2021-11-05 08:00:00;0.85628;0.85645;0.85595;0.85623;1890;0;0
2021-11-05 09:00:00;0.85622;0.85655;0.85572;0.85598;2417;0;0
2021-11-05 10:00:00;0.85598;0.85893;0.85598;0.85859;5391;0;0
2021-11-05 11:00:00;0.85859;0.85948;0.85775;0.85928;3968;1;0
2021-11-05 12:00:00;0.85928;0.85932;0.85808;0.85813;3914;0;0
2021-11-05 13:00:00;0.85812;0.85844;0.85745;0.85798;4669;1;0
2021-11-05 14:00:00;0.85798;0.85801;0.85624;0.85629;8202;0;0
2021-11-05 15:00:00;0.8563;0.85644;0.85484;0.85588;7062;0;0
2021-11-05 16:00:00;0.85588;0.8563;0.85514;0.85615;4249;0;0
2021-11-05 17:00:00;0.85615;0.85643;0.8551;0.85633;5374;0;0
2021-11-05 18:00:00;0.85632;0.85706;0.85609;0.85627;3157;0;0
2021-11-05 19:00:00;0.85627;0.85698;0.85614;0.85653;2295;1;0
