time;open;high;low;close;tick_volume;spread;real_volume
2023-04-21 02:00:00;1.24404;1.24431;1.24404;1.24406;77;5;0
2023-04-21 02:05:00;1.24406;1.2441200000000001;1.24403;1.24405;110;6;0
2023-04-21 02:10:00;1.24404;1.24416;1.24404;1.24406;121;5;0
2023-04-21 02:15:00;1.24405;1.24409;1.24398;1.24399;89;5;0
2023-04-21 02:20:00;1.24398;1.24406;1.24395;1.24405;104;2;0
2023-04-21 02:25:00;1.24404;1.24407;1.24388;1.24388;67;5;0
2023-04-21 02:30:00;1.24387;1.24401;1.24376;1.24376;112;4;0
2023-04-21 02:35:00;1.24375;1.24398;1.24375;1.24388;130;4;0
2023-04-21 02:40:00;1.24389;1.24399;1.24384;1.24387;191;4;0
2023-04-21 02:45:00;1.24388;1.24414;1.24386;1.24408;113;4;0
2023-04-21 02:50:00;1.24408;1.24421;1.24402;1.24406;108;4;0
2023-04-21 02:55:00;1.24407;1.2441;1.24399;1.24401;159;0;0
2023-04-21 03:00:00;1.244;1.24402;1.24366;1.24366;340;0;0
2023-04-21 03:05:00;1.24365;1.24368;1.24346;1.2435;233;1;0
2023-04-21 03:10:00;1.2435;1.24352;1.24331;1.24336;203;0;0
2023-04-21 03:15:00;1.24337;1.24345;1.24317;1.2432400000000001;230;3;0
2023-04-21 03:20:00;1.24323;1.24329;1.24299;1.24301;145;2;0
2023-04-21 03:25:00;1.2429999999999999;1.24319;1.24294;1.24315;167;2;0
2023-04-21 03:30:00;1.24315;1.24338;1.24305;1.24333;200;2;0
2023-04-21 03:35:00;1.24334;1.24389;1.24333;1.24389;206;0;0
2023-04-21 03:40:00;1.2439;1.24397;1.24373;1.24378;178;0;0
2023-04-21 03:45:00;1.24379;1.24384;1.24368;1.24382;170;0;0
2023-04-21 03:50:00;1.2438;1.24406;1.24368;1.24405;281;0;0
2023-04-21 03:55:00;1.24405;1.24414;1.2438;1.24414;280;1;0
2023-04-21 04:00:00;1.24413;1.24447;1.24407;1.24447;227;0;0
2023-04-21 04:05:00;1.24448;1.24449;1.2442;1.24432;284;0;0
2023-04-21 04:10:00;1.24431;1.2444600000000001;1.24427;1.24436;276;0;0
2023-04-21 04:15:00;1.24439;1.24462;1.24436;1.2444;212;0;0
2023-04-21 04:20:00;1.24441;1.24447;1.24425;1.24445;228;1;0
2023-04-21 04:25:00;1.24445;1.24461;1.24428;1.24433;199;0;0
2023-04-21 04:30:00;1.24431;1.24436;1.24383;1.24417;377;1;0
2023-04-21 04:35:00;1.24417;1.24417;1.24383;1.24404;362;1;0
2023-04-21 04:40:00;1.24406;1.24424;1.24396;1.24403;328;0;0
2023-04-21 04:45:00;1.24403;1.24421;1.24398;1.24419;265;0;0
2023-04-21 04:50:00;1.2442;1.24439;1.24404;1.24407;324;0;0
2023-04-21 04:55:00;1.24407;1.2443;1.24404;1.24407;237;0;0
2023-04-21 05:00:00;1.24409;1.24461;1.24397;1.24459;323;0;0
2023-04-21 05:05:00;1.24459;1.24462;1.24429;1.2443;212;0;0
2023-04-21 05:10:00;1.24429;1.24452;1.24425;1.24425;258;1;0
2023-04-21 05:15:00;1.24425;1.24448;1.24418;1.24442;187;1;0
2023-04-21 05:20:00;1.24442;1.24451;1.24436;1.24451;183;1;0
2023-04-21 05:25:00;1.24452;1.24459;1.24416;1.2442;218;0;0
2023-04-21 05:30:00;1.2442;1.24421;1.24388;1.24407;236;0;0
2023-04-21 05:35:00;1.24406;1.24409;1.24388;1.24399;237;0;0
2023-04-21 05:40:00;1.24399;1.2441;1.24371;1.24405;185;0;0
2023-04-21 05:45:00;1.24406;1.2441;1.24393;1.24402;187;0;0
2023-04-21 05:50:00;1.24401;1.24408;1.2438;1.2438;199;1;0
2023-04-21 05:55:00;1.24379;1.24408;1.24379;1.24406;200;1;0
2023-04-21 06:00:00;1.24406;1.24407;1.24386;1.24395;230;0;0
2023-04-21 06:05:00;1.24395;1.244;1.24389;1.24394;196;0;0
2023-04-21 06:10:00;1.24394;1.24409;1.24392;1.24399;177;0;0
2023-04-21 06:15:00;1.24399;1.24408;1.24391;1.24401;101;1;0
2023-04-21 06:20:00;1.24402;1.24402;1.24383;1.24384;117;0;0
2023-04-21 06:25:00;1.24384;1.24389;1.24365;1.24379;159;0;0
2023-04-21 06:30:00;1.24378;1.24404;1.24374;1.24396;166;1;0
2023-04-21 06:35:00;1.24397;1.24397;1.24365;1.24366;98;1;0
2023-04-21 06:40:00;1.24366;1.24376;1.24363;1.24372;162;2;0
2023-04-21 06:45:00;1.24372;1.24373;1.24356;1.24369;140;1;0
2023-04-21 06:50:00;1.24371;1.24373;1.2436099999999999;1.24366;130;1;0
2023-04-21 06:55:00;1.24366;1.24378;1.2436;1.24364;152;1;0
2023-04-21 07:00:00;1.24364;1.24367;1.2435100000000001;1.24352;159;0;0
2023-04-21 07:05:00;1.24353;1.24369;1.24352;1.24354;129;0;0
2023-04-21 07:10:00;1.24354;1.24358;1.24339;1.24353;171;0;0
2023-04-21 07:15:00;1.24354;1.24366;1.24353;1.24354;123;1;0
2023-04-21 07:20:00;1.24353;1.24355;1.24334;1.24335;146;0;0
2023-04-21 07:25:00;1.24336;1.24342;1.24316;1.24321;230;1;0
2023-04-21 07:30:00;1.24321;1.24331;1.24317;1.2432;162;0;0
