time;open;high;low;close;tick_volume;spread;real_volume
2019-05-24;95.26;95.26;95.26;95.26;1;96;0
2019-05-27;113.92;121.36;110.8;116.01;7623;111;0
2019-05-28;115.84;117.45;110.92;114.3;11180;111;0
2019-05-29;114.31;117.76;108.12;114.7;9338;108;0
2019-05-30;114.73;120.15;101.83;107.47;44467;102;0
2019-05-31;107.48;114.15;104.04;113.89;52414;104;0
2019-06-01;113.89;115.41;110.54;111.98;52999;111;0
2019-06-02;112.0;115.99;111.2;114.1;48723;111;0
2019-06-03;114.1;115.63;104.2;105.26;41775;104;0
2019-06-04;105.27;105.76;97.07;101.5;52991;97;0
2019-06-05;101.52;104.67;99.66;103.32;46423;100;0
2019-06-06;103.31;111.57;100.63;110.88;38072;101;0
2019-06-07;110.91;120.69;109.39;116.5;35929;110;0
2019-06-08;116.49;119.28;113.51;117.87;49716;114;0
2019-06-09;117.9;118.66;111.16;114.27;38740;111;0
2019-06-10;114.28;129.84;112.12;129.14;41269;112;0
2019-06-11;129.11;138.21;124.87;135.57;42354;125;0
2019-06-12;135.56;143.53;130.08;135.47;48290;130;0
2019-06-13;135.43;136.22;127.49;130.18;36487;128;0
2019-06-14;130.19;132.48;125.21;132.07;38793;126;0
2019-06-15;132.07;138.56;132.03;137.67;31527;132;0
2019-06-16;137.67;138.22;133.24;136.15;44105;134;0
2019-06-17;136.16;136.59;131.57;133.41;33839;132;0
2019-06-18;133.4;136.17;128.21;134.47;37704;129;0
2019-06-19;134.47;138.88;132.98;135.99;31431;133;0
2019-06-20;135.98;136.36;132.79;135.12;26533;133;0
2019-06-21;135.13;140.76;135.01;138.39;43360;135;0
2019-06-22;138.37;145.23;137.14;140.68;66188;137;0
2019-06-23;140.67;141.28;134.8;135.81;42046;135;0
2019-06-24;135.83;135.83;131.5;134.68;43323;132;0
2019-06-25;134.68;137.58;128.34;134.9;50226;129;0
2019-06-26;134.9;137.46;125.08;129.99;84461;124;0
2019-06-27;129.99;131.41;109.17;113.71;77504;87;0
2019-06-28;113.7;121.12;111.99;118.97;61507;90;0
2019-06-29;118.98;129.25;114.56;126.68;32006;92;0
2019-07-07;118.23;120.54;116.76;119.73;20419;93;0
2019-07-08;119.73;125.09;117.83;122.9;23900;94;0
2019-07-09;122.9;123.63;117.53;118.96;27478;94;0
2019-07-10;118.96;119.98;102.13;107.8;41528;82;0
2019-07-11;107.8;107.8;94.93;102.61;41357;76;0
2019-07-12;102.61;106.6;100.28;104.65;37881;80;0
2019-07-13;104.68;104.95;97.19;100.77;35150;78;0
2019-07-14;100.78;101.51;87.77;89.41;38256;70;0
2019-07-15;89.38;92.6;84.5;90.17;41212;68;0
2019-07-16;90.17;91.57;76.66;79.31;41481;61;0
2019-07-17;79.33;94.48;76.65;90.0;50500;61;0
2019-07-18;89.97;104.28;86.82;100.98;40266;69;0
2019-07-19;100.97;101.16;94.71;98.22;32543;76;0
2019-07-20;98.24;105.44;97.31;100.11;28009;78;0
2019-07-21;100.12;101.21;96.21;99.38;26940;77;0
2019-07-22;99.39;100.42;90.66;94.74;25417;73;0
2019-07-23;94.76;94.76;88.16;89.68;22620;71;0
2019-07-24;89.66;96.86;86.62;94.1;27928;69;0
2019-07-25;94.1;96.36;91.35;92.91;20180;73;0
2019-07-26;92.92;94.3;89.93;93.89;18522;72;0
2019-07-27;93.9;96.1;86.19;88.41;21803;70;0
2019-07-28;88.41;90.44;83.27;89.41;22309;67;0
2019-07-29;89.58;91.95;87.13;89.91;20042;70;0
2019-07-30;89.9;92.33;88.18;89.96;18535;71;0
2019-07-31;89.96;99.56;89.68;98.47;19760;72;0
2019-08-01;98.46;100.37;95.41;98.48;23138;76;0
2019-08-02;98.48;98.54;92.37;94.46;25207;74;0
2019-08-03;94.47;96.27;93.25;93.81;24176;75;0
2019-08-04;93.82;94.39;90.19;92.61;24113;72;0
2019-08-05;92.62;106.59;92.6;96.01;32460;74;0
2019-08-06;96.0;98.83;90.54;92.5;25022;72;0
2019-08-07;92.5;93.94;86.86;90.14;25158;70;0
2019-08-08;90.18;92.17;87.46;89.65;22094;70;0
2019-08-09;89.64;89.93;82.2;83.92;25222;66;0
2019-08-10;83.91;86.89;81.64;84.84;30587;65;0
2019-08-11;84.84;91.0;84.79;89.49;19845;68;0
2019-08-12;89.5;89.51;84.99;85.4;20005;68;0
2019-08-13;85.4;86.24;82.66;84.23;23743;66;0
2019-08-14;84.23;85.61;74.48;75.42;26266;60;0
2019-08-15;75.43;77.31;70.79;75.92;30663;57;0
2019-08-16;75.91;76.02;71.95;74.46;25931;57;0
2019-08-17;74.47;75.12;71.4;72.4;21099;57;0
2019-08-18;72.4;77.82;71.22;76.01;19094;57;0
2019-08-19;76.0;78.65;75.3;76.85;17067;60;0
2019-08-20;76.86;76.96;73.09;74.78;15566;58;0
2019-08-21;74.8;75.06;69.73;72.82;21978;56;0
2019-08-22;72.81;74.34;70.72;73.11;20812;57;0
2019-08-23;73.1;75.74;72.2;75.2;18656;58;0
2019-08-24;75.2;75.33;71.35;73.14;13421;57;0
2019-08-25;73.14;74.62;70.47;71.83;8232;56;0
2019-08-26;71.87;75.16;71.87;73.16;11256;57;0
2019-08-27;73.17;73.32;71.71;72.45;11285;57;0
2019-08-28;72.42;72.66;64.38;66.46;10033;51;0
2019-08-29;66.46;66.47;61.87;63.2;10998;49;0
2019-08-30;63.22;65.28;61.9;63.95;6943;49;0
2019-08-31;63.94;65.01;62.15;64.07;9908;50;0
2019-09-01;64.06;67.0;63.76;65.85;5164;51;0
2019-09-02;65.86;67.82;64.86;66.92;7666;52;0
2019-09-03;66.93;70.71;66.46;68.88;9707;53;0
2019-09-04;68.89;69.06;66.39;66.87;12436;53;0
2019-09-05;66.89;67.21;64.01;65.04;7999;51;0
