time;open;high;low;close;tick_volume;spread;real_volume
2022-05-12 22:00:00;62.28;62.72;61.63;62.52;1297;31;0
2022-05-12 23:00:00;62.52;64.64;62.52;64.08;1811;31;0
2022-05-13 00:00:00;64.08;66.03;62.89;66.01;1939;31;0
2022-05-13 01:00:00;66.01;66.68;64.36;64.98;1781;32;0
2022-05-13 02:00:00;64.98;67.24;64.57;66.44;2299;32;0
2022-05-13 03:00:00;66.44;69.92;66.23;69.14;2240;33;0
2022-05-13 04:00:00;69.14;69.53;68.17;69.17;1683;34;0
2022-05-13 05:00:00;69.17;71.15;68.83;69.12;1998;34;0
2022-05-13 06:00:00;69.12;69.58;68.48;68.93;2047;34;0
2022-05-13 07:00:00;68.93;69.02;67.47;67.56;1973;33;0
2022-05-13 08:00:00;67.56;68.81;67.56;68.51;1507;34;0
2022-05-13 09:00:00;68.51;69.96;68.5;69.08;1954;34;0
2022-05-13 10:00:00;69.08;70.21;68.45;69.97;1529;34;0
2022-05-13 11:00:00;69.97;72.56;69.28;72.01;1823;34;0
2022-05-13 12:00:00;72.01;72.1;70.64;71.25;1457;35;0
2022-05-13 13:00:00;71.25;71.92;69.82;71.43;2429;35;0
2022-05-13 14:00:00;71.43;72.91;71.42;71.81;2164;36;0
2022-05-13 15:00:00;71.81;72.09;69.72;70.49;1650;35;0
2022-05-13 16:00:00;70.49;71.2;69.23;70.28;2265;34;0
2022-05-13 17:00:00;70.28;71.16;68.47;68.6;1697;34;0
2022-05-13 18:00:00;68.6;70.03;68.2;69.88;2014;34;0
2022-05-13 19:00:00;69.88;69.95;68.77;69.15;1654;34;0
2022-05-13 20:00:00;69.15;69.56;68.15;68.19;1263;34;0
2022-05-13 21:00:00;68.19;69.57;68.07;69.56;714;34;0
2022-05-13 22:00:00;69.56;70.17;68.25;68.34;1038;34;0
2022-05-13 23:00:00;68.34;68.69;67.24;67.58;1449;33;0
2022-05-14 00:00:00;67.58;68.98;66.98;68.55;1446;33;0
2022-05-14 01:00:00;68.55;69.96;68.13;69.37;1068;34;0
2022-05-14 02:00:00;69.37;69.45;68.56;68.75;1038;34;0
2022-05-14 03:00:00;68.75;69.35;68.27;68.56;1042;34;0
2022-05-14 04:00:00;68.56;68.57;66.86;67.24;1085;33;0
2022-05-14 05:00:00;67.24;67.76;66.84;67.61;1277;33;0
2022-05-14 06:00:00;67.61;68.07;67.16;67.64;862;33;0
2022-05-14 07:00:00;67.64;67.85;67.19;67.33;677;33;0
2022-05-14 08:00:00;67.33;68.23;67.16;68.14;896;33;0
2022-05-14 09:00:00;68.14;68.59;67.25;67.74;979;33;0
2022-05-14 10:00:00;67.74;67.81;65.13;65.48;1063;32;0
2022-05-14 11:00:00;65.48;65.74;64.69;65.36;1687;32;0
2022-05-14 12:00:00;65.36;65.78;64.64;65.37;1230;32;0
2022-05-14 13:00:00;65.37;65.64;64.16;64.45;1544;32;0
2022-05-14 14:00:00;64.45;64.9;63.92;64.54;1321;32;0
2022-05-14 15:00:00;64.54;65.14;64.05;64.46;1118;32;0
2022-05-14 16:00:00;64.46;67.14;64.08;66.35;1866;32;0
2022-05-14 17:00:00;66.35;67.61;66.0;67.3;1425;33;0
2022-05-14 18:00:00;67.3;67.71;66.98;67.21;1355;33;0
2022-05-14 19:00:00;67.21;67.57;66.56;66.7;1080;33;0
2022-05-14 20:00:00;66.7;67.45;66.06;66.2;1075;33;0
2022-05-14 21:00:00;66.2;68.14;66.2;67.86;854;33;0
2022-05-14 22:00:00;67.86;69.15;67.42;68.83;1402;33;0
2022-05-14 23:00:00;68.83;69.01;68.15;68.6;1171;34;0
2022-05-15 00:00:00;68.6;68.98;67.47;67.71;1483;34;0
2022-05-15 01:00:00;67.71;68.01;67.26;67.77;1065;33;0
2022-05-15 02:00:00;67.77;68.1;66.37;66.64;950;33;0
2022-05-15 03:00:00;66.64;66.8;65.75;66.57;965;33;0
2022-05-15 04:00:00;66.57;67.2;65.78;66.99;978;33;0
2022-05-15 05:00:00;66.99;68.67;66.54;68.43;1141;33;0
2022-05-15 06:00:00;68.43;68.6;67.49;68.19;1181;34;0
2022-05-15 07:00:00;68.19;68.65;67.47;67.57;1091;34;0
2022-05-15 08:00:00;67.57;67.81;66.97;67.14;975;33;0
2022-05-15 09:00:00;67.14;68.0;67.07;67.96;780;33;0
2022-05-15 10:00:00;67.96;68.63;67.75;68.56;956;34;0
2022-05-15 11:00:00;68.56;69.06;67.85;68.79;1047;34;0
2022-05-15 12:00:00;68.79;69.53;68.37;68.98;1431;34;0
2022-05-15 13:00:00;68.98;68.99;67.57;67.61;1123;34;0
2022-05-15 14:00:00;67.61;67.72;66.57;67.33;1082;33;0
2022-05-15 15:00:00;67.33;67.98;67.27;67.75;1164;33;0
2022-05-15 16:00:00;67.75;68.41;67.53;68.21;1222;34;0
2022-05-15 17:00:00;68.21;68.54;67.82;67.96;1031;34;0
2022-05-15 18:00:00;67.96;69.24;67.77;69.0;1175;34;0
