time;open;high;low;close;tick_volume;spread;real_volume
2002-11-15 16:00:00;28.34;28.47;27.84;28.35;126;0;0
2002-11-18 16:00:00;28.48;28.52;27.87;27.93;76;0;0
2002-11-19 16:00:00;27.77;27.9;27.15;27.43;117;0;0
2002-11-20 16:00:00;27.51;28.46;27.47;28.32;118;0;0
2002-11-21 16:00:00;28.49;29.0;28.39;28.92;80;0;0
2002-11-22 16:00:00;28.73;29.16;28.53;29.12;88;0;0
2002-11-25 16:00:00;29.03;29.32;28.79;29.12;98;0;0
2002-11-26 16:00:00;28.82;29.13;28.39;28.45;112;0;0
2002-11-27 16:00:00;28.8;29.3;28.7;29.04;97;0;0
2002-11-29 16:00:00;29.22;29.32;28.8;28.84;67;0;0
2002-12-02 16:00:00;29.33;29.49;28.51;28.85;149;0;0
2002-12-03 16:00:00;28.64;28.67;28.2;28.35;66;0;0
2002-12-04 16:00:00;28.07;28.73;27.91;28.28;144;0;0
2002-12-05 16:00:00;28.48;28.55;27.65;27.67;100;0;0
2002-12-06 16:00:00;27.44;27.88;27.11;27.74;125;0;0
2002-12-09 16:00:00;27.5;27.62;26.76;26.77;100;0;0
2002-12-10 16:00:00;26.78;27.24;26.74;27.01;78;0;0
2002-12-11 16:00:00;26.93;27.51;26.8;27.34;102;0;0
2002-12-12 16:00:00;27.5;27.53;26.84;27.08;97;0;0
2002-12-13 16:00:00;26.84;26.88;26.24;26.25;70;0;0
2002-12-16 16:00:00;26.5;27.28;26.33;27.24;117;0;0
2002-12-17 16:00:00;27.21;27.5;26.89;27.18;120;0;0
2002-12-18 16:00:00;26.93;27.21;26.4;26.77;147;0;0
2002-12-19 16:00:00;26.65;27.38;26.44;26.56;180;0;0
2002-12-20 16:00:00;26.75;26.87;26.48;26.52;56;0;0
2002-12-23 16:00:00;26.53;27.15;26.45;27.01;93;0;0
2002-12-24 16:00:00;26.77;27.11;26.76;26.91;57;0;0
2002-12-26 16:00:00;27.02;27.35;26.59;26.7;121;0;0
2002-12-27 16:00:00;26.64;27.0;26.45;26.48;95;0;0
2002-12-30 16:00:00;26.51;26.63;26.14;26.38;86;0;0
2002-12-31 16:00:00;26.37;26.5;25.63;25.85;123;0;0
2003-01-02 16:00:00;26.15;26.88;25.85;26.86;136;0;0
2003-01-03 16:00:00;26.8;26.91;26.44;26.9;85;0;0
2003-01-06 16:00:00;27.01;27.62;26.9;27.39;107;0;0
2003-01-07 16:00:00;27.46;28.01;27.34;27.9;91;0;0
2003-01-08 16:00:00;27.69;27.78;27.06;27.12;88;0;0
2003-01-09 16:00:00;27.37;27.97;27.27;27.91;87;0;0
2003-01-10 16:00:00;27.55;28.15;27.45;27.96;100;0;0
2003-01-13 16:00:00;28.26;28.37;27.89;28.19;90;0;0
2003-01-14 16:00:00;28.16;28.5;28.09;28.49;50;0;0
2003-01-15 16:00:00;28.5;28.66;28.09;28.13;78;0;0
2003-01-16 16:00:00;28.16;28.33;27.55;27.67;108;0;0
2003-01-17 16:00:00;26.47;26.5;25.65;25.73;97;0;0
2003-01-21 16:00:00;25.94;26.08;25.65;25.67;60;0;0
2003-01-22 16:00:00;25.8;26.21;25.46;25.5;121;0;0
2003-01-23 16:00:00;25.98;26.28;25.73;26.15;94;0;0
2003-01-24 16:00:00;26.02;26.03;24.86;24.93;126;0;0
2003-01-27 16:00:00;24.66;25.3;24.2;24.58;213;0;0
2003-01-28 16:00:00;24.85;24.86;24.29;24.41;71;0;0
2003-01-29 16:00:00;24.38;25.03;23.97;24.96;155;0;0
2003-01-30 16:00:00;25.08;25.09;24.09;24.12;105;0;0
2003-01-31 16:00:00;23.73;24.18;23.51;23.73;135;0;0
2003-02-03 16:00:00;23.97;24.56;23.73;24.29;135;0;0
2003-02-04 16:00:00;23.9;23.97;23.44;23.66;83;0;0
2003-02-05 16:00:00;23.92;24.27;23.33;23.48;145;0;0
2003-02-06 16:00:00;23.43;23.81;23.28;23.71;79;0;0
2003-02-07 16:00:00;23.94;23.98;23.2;23.29;92;0;0
2003-02-10 16:00:00;23.4;23.76;23.27;23.69;70;0;0
2003-02-11 16:00:00;23.65;23.84;23.0;23.22;126;0;0
2003-02-12 16:00:00;23.28;23.56;23.14;23.22;79;0;0
2003-02-13 16:00:00;23.21;23.57;23.07;23.5;72;0;0
2003-02-14 16:00:00;23.63;24.26;23.39;24.16;122;0;0
2003-02-18 16:00:00;24.62;24.99;24.4;24.96;85;0;0
2003-02-19 16:00:00;24.82;24.88;24.17;24.53;114;0;0
2003-02-20 16:00:00;24.77;24.87;24.1;24.15;93;0;0
2003-02-21 16:00:00;24.29;24.8;23.7;24.61;189;0;0
2003-02-24 16:00:00;24.44;24.5;23.84;24.07;96;0;0
2003-02-25 16:00:00;23.54;24.27;23.38;24.19;114;0;0
2003-02-26 16:00:00;24.08;24.47;23.58;23.6;131;0;0
2003-02-27 16:00:00;23.9;24.21;23.3;23.58;151;0;0
2003-02-28 16:00:00;23.74;24.07;23.56;23.7;99;0;0
2003-03-03 16:00:00;24.02;24.12;23.41;23.54;95;0;0
2003-03-04 16:00:00;23.58;23.66;23.06;23.07;70;0;0
2003-03-05 16:00:00;23.07;23.55;23.05;23.44;64;0;0
2003-03-06 16:00:00;23.17;23.5;23.13;23.27;65;0;0
2003-03-07 16:00:00;22.95;23.79;22.9;23.56;118;0;0
2003-03-10 16:00:00;23.31;23.46;22.89;22.95;79;0;0
2003-03-11 16:00:00;23.06;23.27;22.76;22.79;76;0;0
2003-03-12 16:00:00;22.82;23.44;22.55;23.39;122;0;0
2003-03-13 16:00:00;23.72;24.74;23.44;24.67;166;0;0
2003-03-14 16:00:00;24.68;24.96;24.26;24.86;123;0;0
2003-03-17 16:00:00;24.52;25.95;24.33;25.93;184;0;0
2003-03-18 16:00:00;25.89;26.04;25.5;26.04;94;0;0
2003-03-19 16:00:00;25.98;26.43;25.74;26.32;105;0;0
2003-03-20 16:00:00;26.02;26.52;25.67;26.25;148;0;0
2003-03-21 16:00:00;26.75;26.9;26.03;26.57;157;0;0
2003-03-24 16:00:00;25.55;25.94;25.19;25.29;125;0;0
2003-03-25 16:00:00;25.6;25.75;25.03;25.49;134;0;0
2003-03-26 16:00:00;25.46;25.62;25.24;25.25;56;0;0
2003-03-27 16:00:00;24.94;25.26;24.6;25.04;123;0;0
2003-03-28 16:00:00;24.67;25.1;24.6;24.67;101;0;0
2003-03-31 16:00:00;24.22;24.71;24.01;24.21;140;0;0
2003-04-01 16:00:00;24.47;24.7;24.25;24.35;79;0;0
2003-04-02 16:00:00;25.1;26.0;25.1;25.72;119;0;0
2003-04-03 16:00:00;25.99;26.09;25.6;25.73;73;0;0
2003-04-04 16:00:00;25.76;25.8;24.93;25.09;108;0;0
2003-04-07 16:00:00;26.23;26.43;25.17;25.17;147;0;0
2003-04-08 16:00:00;25.31;25.84;25.2;25.58;102;0;0
2003-04-09 16:00:00;25.61;25.67;24.54;24.57;123;0;0
2003-04-10 16:00:00;24.71;24.79;24.28;24.59;91;0;0
2003-04-11 16:00:00;24.89;25.18;23.95;24.2;178;0;0
2003-04-14 16:00:00;24.27;24.88;24.0;24.75;129;0;0
2003-04-15 16:00:00;24.68;24.79;24.1;24.61;132;0;0
2003-04-16 16:00:00;25.6;25.74;24.6;24.91;160;0;0
2003-04-17 16:00:00;24.77;25.54;24.74;25.5;88;0;0
2003-04-21 16:00:00;25.61;25.61;25.08;25.21;67;0;0
2003-04-22 16:00:00;25.06;25.8;25.03;25.74;87;0;0
2003-04-23 16:00:00;25.75;25.99;25.47;25.72;102;0;0
2003-04-24 16:00:00;25.48;25.72;25.32;25.49;80;0;0
2003-04-25 16:00:00;25.33;25.64;25.17;25.21;83;0;0
2003-04-28 16:00:00;25.39;25.94;25.32;25.74;90;0;0
2003-04-29 16:00:00;25.95;26.25;25.68;25.81;101;0;0
2003-04-30 16:00:00;25.73;25.88;25.25;25.56;110;0;0
2003-05-01 16:00:00;25.54;25.95;25.34;25.71;106;0;0
2003-05-02 16:00:00;25.65;26.29;25.57;26.13;97;0;0
2003-05-05 16:00:00;26.25;26.39;25.84;25.86;72;0;0
2003-05-06 16:00:00;25.86;26.5;25.82;26.38;85;0;0
2003-05-07 16:00:00;26.1;26.35;25.84;25.99;92;0;0
2003-05-08 16:00:00;25.75;26.15;25.71;25.75;89;0;0
2003-05-09 16:00:00;25.9;26.5;25.89;26.35;78;0;0
2003-05-12 16:00:00;26.15;26.47;26.06;26.21;77;0;0
2003-05-13 16:00:00;26.04;26.2;25.89;25.99;58;0;0
2003-05-14 16:00:00;26.08;26.18;25.55;25.63;82;0;0
2003-05-15 16:00:00;25.85;26.01;25.57;25.79;83;0;0
2003-05-16 16:00:00;25.88;26.05;25.41;25.57;98;0;0
2003-05-19 16:00:00;25.4;25.54;24.74;24.8;101;0;0
2003-05-20 16:00:00;24.86;25.0;24.5;24.63;78;0;0
2003-05-21 16:00:00;24.63;24.71;23.89;24.03;105;0;0
2003-05-22 16:00:00;24.2;24.27;24.04;24.16;43;0;0
2003-05-23 16:00:00;24.2;24.54;24.03;24.22;101;0;0
2003-05-27 16:00:00;24.25;24.89;24.22;24.79;81;0;0
2003-05-28 16:00:00;24.78;24.87;24.3;24.41;78;0;0
2003-05-29 16:00:00;24.47;24.67;24.23;24.4;82;0;0
2003-05-30 16:00:00;24.73;24.91;24.51;24.61;69;0;0
2003-06-02 16:00:00;24.98;25.03;24.57;24.64;59;0;0
2003-06-03 16:00:00;24.75;24.92;24.57;24.88;58;0;0
2003-06-04 16:00:00;24.99;25.22;24.74;24.87;85;0;0
2003-06-05 16:00:00;24.47;24.52;24.01;24.09;65;0;0
2003-06-06 16:00:00;24.44;24.56;23.65;23.67;106;0;0
2003-06-09 16:00:00;23.72;23.98;23.6;23.75;74;0;0
2003-06-10 16:00:00;23.94;24.75;23.85;24.68;107;0;0
2003-06-11 16:00:00;24.67;24.96;24.42;24.88;88;0;0
2003-06-12 16:00:00;24.97;25.14;24.74;24.99;79;0;0
2003-06-13 16:00:00;25.2;25.25;24.49;24.65;98;0;0
2003-06-16 16:00:00;24.77;25.42;24.67;25.39;89;0;0
2003-06-17 16:00:00;25.63;26.14;25.53;25.96;90;0;0
2003-06-18 16:00:00;25.98;26.43;25.71;26.07;136;0;0
