time;open;high;low;close;tick_volume;spread;real_volume
2000-06-15;2.64;2.71;2.49;2.71;146;0;0
2000-06-16;2.7;3.13;2.7;3.12;174;0;0
2000-06-19;3.11;3.57;3.04;3.32;346;0;0
2000-06-20;3.37;3.41;3.23;3.27;106;0;0
2000-06-21;3.22;3.67;3.22;3.6;206;0;0
2000-06-22;3.59;3.66;3.37;3.41;161;0;0
2000-06-23;3.32;3.36;3.08;3.09;129;0;0
2000-06-26;3.15;3.48;3.1;3.46;181;0;0
2000-06-27;3.43;3.49;2.88;2.9699999999999998;304;0;0
2000-06-28;3.03;3.15;2.77;2.86;230;0;0
2000-06-29;2.81;2.81;2.4;2.44;184;0;0
2000-06-30;2.56;2.69;2.43;2.65;173;0;0
2000-07-03;2.67;2.75;2.52;2.55;135;0;0
2000-07-05;2.54;2.54;2.2;2.2800000000000002;170;0;0
2000-07-06;2.2800000000000002;2.5;2.22;2.41;167;0;0
2000-07-07;2.5;2.54;2.38;2.43;105;0;0
2000-07-10;2.38;2.61;2.36;2.55;134;0;0
2000-07-11;2.52;2.89;2.49;2.76;223;0;0
2000-07-12;2.87;2.98;2.7800000000000002;2.83;144;0;0
2000-07-13;2.89;3.12;2.89;3.1;101;0;0
2000-07-14;3.16;3.22;3.0;3.08;145;0;0
2000-07-17;3.12;3.13;3.03;3.04;43;0;0
2000-07-18;2.88;3.13;2.88;2.98;158;0;0
2000-07-19;2.88;2.9;2.73;2.79;98;0;0
2000-07-20;2.79;2.94;2.7800000000000002;2.87;94;0;0
2000-07-21;2.88;2.96;2.83;2.9;90;0;0
2000-07-24;2.91;2.93;2.54;2.66;209;0;0
2000-07-25;2.7;2.7199999999999998;2.55;2.56;77;0;0
2000-07-26;2.56;2.56;2.3;2.37;133;0;0
2000-07-27;2.29;2.33;2.17;2.2;89;0;0
2000-07-28;2.21;2.41;2.08;2.25;248;0;0
2000-07-31;2.38;2.51;2.25;2.5;155;0;0
2000-08-01;2.5;2.52;2.43;2.45;51;0;0
2000-08-02;2.42;2.54;2.38;2.5;98;0;0
2000-08-03;2.25;2.67;2.25;2.61;191;0;0
2000-08-04;2.67;2.71;2.62;2.66;71;0;0
2000-08-07;2.68;2.89;2.67;2.87;103;0;0
2000-08-08;2.8;2.96;2.79;2.8;135;0;0
2000-08-09;2.84;2.86;2.68;2.7199999999999998;95;0;0
2000-08-10;2.66;2.82;2.61;2.75;131;0;0
2000-08-11;2.76;2.7800000000000002;2.56;2.69;147;0;0
2000-08-14;2.7199999999999998;2.75;2.63;2.71;94;0;0
2000-08-15;2.73;3.02;2.7199999999999998;2.9699999999999998;148;0;0
2000-08-16;3.13;3.13;2.95;3.04;109;0;0
2000-08-17;3.0;3.12;2.99;3.1;61;0;0
2000-08-18;3.09;3.25;3.08;3.21;84;0;0
2000-08-21;3.33;3.38;3.21;3.26;114;0;0
2000-08-22;3.09;3.16;2.92;2.95;134;0;0
2000-08-23;2.9;3.13;2.84;3.12;141;0;0
2000-08-24;3.11;3.24;3.05;3.21;112;0;0
2000-08-25;3.17;3.24;3.11;3.13;86;0;0
2000-08-28;3.14;3.29;3.1;3.25;107;0;0
2000-08-29;3.26;3.27;3.21;3.24;43;0;0
2000-08-30;3.21;3.32;3.17;3.27;91;0;0
2000-08-31;3.32;3.44;3.26;3.31;142;0;0
