time;open;high;low;close;tick_volume;spread;real_volume
2002-11-15 16:00:00;1.11;1.16;1.09;1.12;54;0;0
2002-11-18 16:00:00;1.21;1.22;1.16;1.17;28;0;0
2002-11-19 16:00:00;1.16;1.24;1.15;1.18;68;0;0
2002-11-20 16:00:00;1.22;1.25;1.2;1.24;30;0;0
2002-11-21 16:00:00;1.29;1.41;1.29;1.35;75;0;0
2002-11-22 16:00:00;1.26;1.34;1.25;1.31;50;0;0
2002-11-25 16:00:00;1.37;1.3900000000000001;1.32;1.3599999999999999;54;0;0
2002-11-26 16:00:00;1.37;1.3900000000000001;1.32;1.32;44;0;0
2002-11-27 16:00:00;1.38;1.45;1.3599999999999999;1.43;52;0;0
2002-11-29 16:00:00;1.46;1.48;1.42;1.43;40;0;0
2002-12-02 16:00:00;1.5;1.52;1.41;1.42;56;0;0
2002-12-03 16:00:00;1.3900000000000001;1.3900000000000001;1.32;1.32;32;0;0
2002-12-04 16:00:00;1.23;1.25;1.16;1.17;47;0;0
2002-12-05 16:00:00;1.24;1.25;1.15;1.18;55;0;0
2002-12-06 16:00:00;1.13;1.2;1.11;1.18;59;0;0
2002-12-09 16:00:00;1.1400000000000001;1.16;1.08;1.09;45;0;0
2002-12-10 16:00:00;1.11;1.2;1.1;1.17;54;0;0
2002-12-11 16:00:00;1.17;1.2;1.13;1.17;60;0;0
2002-12-12 16:00:00;1.21;1.23;1.15;1.15;40;0;0
2002-12-13 16:00:00;1.13;1.13;1.1;1.1;17;0;0
2002-12-16 16:00:00;1.1400000000000001;1.18;1.12;1.17;38;0;0
2002-12-17 16:00:00;1.19;1.23;1.16;1.17;50;0;0
2002-12-18 16:00:00;1.13;1.13;1.08;1.08;26;0;0
2002-12-19 16:00:00;1.06;1.11;1.04;1.05;55;0;0
2002-12-20 16:00:00;1.09;1.1;1.02;1.07;61;0;0
2002-12-23 16:00:00;1.07;1.1;1.06;1.08;27;0;0
2002-12-24 16:00:00;1.08;1.11;1.05;1.06;34;0;0
2002-12-26 16:00:00;1.07;1.09;1.03;1.04;34;0;0
2002-12-27 16:00:00;1.06;1.07;0.99;1.0;38;0;0
2002-12-30 16:00:00;1.0;1.01;0.94;0.96;43;0;0
2002-12-31 16:00:00;0.95;0.98;0.93;0.96;38;0;0
2003-01-02 16:00:00;1.0;1.04;0.97;1.03;47;0;0
2003-01-03 16:00:00;1.03;1.06;1.01;1.03;42;0;0
2003-01-06 16:00:00;1.05;1.13;1.05;1.11;38;0;0
2003-01-07 16:00:00;1.13;1.16;1.09;1.11;41;0;0
2003-01-08 16:00:00;1.08;1.11;0.99;1.0;66;0;0
2003-01-09 16:00:00;1.03;1.04;1.01;1.02;22;0;0
2003-01-10 16:00:00;1.0;1.05;0.99;1.03;35;0;0
2003-01-13 16:00:00;1.07;1.08;1.02;1.02;32;0;0
2003-01-14 16:00:00;1.03;1.04;1.0;1.03;33;0;0
2003-01-15 16:00:00;1.03;1.04;1.0;1.0;20;0;0
2003-01-16 16:00:00;0.98;1.0;0.92;0.93;42;0;0
2003-01-17 16:00:00;0.91;0.92;0.88;0.9;25;0;0
2003-01-21 16:00:00;0.91;0.93;0.87;0.87;35;0;0
2003-01-22 16:00:00;0.87;0.9;0.87;0.87;22;0;0
2003-01-23 16:00:00;0.9;0.91;0.88;0.9;31;0;0
2003-01-24 16:00:00;0.89;0.9;0.83;0.85;34;0;0
2003-01-27 16:00:00;0.83;0.87;0.82;0.84;45;0;0
2003-01-28 16:00:00;0.83;0.88;0.8;0.87;53;0;0
2003-01-29 16:00:00;0.84;0.89;0.84;0.88;23;0;0
2003-01-30 16:00:00;0.9;0.91;0.84;0.85;36;0;0
2003-01-31 16:00:00;0.82;0.89;0.82;0.86;42;0;0
2003-02-03 16:00:00;0.87;0.89;0.86;0.88;25;0;0
2003-02-04 16:00:00;0.87;0.88;0.83;0.84;28;0;0
2003-02-05 16:00:00;0.86;0.88;0.84;0.85;27;0;0
2003-02-06 16:00:00;0.91;0.91;0.84;0.85;34;0;0
2003-02-07 16:00:00;0.87;0.87;0.81;0.81;29;0;0
2003-02-10 16:00:00;0.81;0.83;0.78;0.82;39;0;0
2003-02-11 16:00:00;0.83;0.86;0.81;0.81;32;0;0
2003-02-12 16:00:00;0.81;0.84;0.8;0.81;33;0;0
2003-02-13 16:00:00;0.83;0.83;0.81;0.82;21;0;0
2003-02-14 16:00:00;0.94;1.01;0.91;1.0;48;0;0
2003-02-18 16:00:00;1.04;1.08;1.03;1.06;35;0;0
2003-02-19 16:00:00;1.06;1.08;1.04;1.07;22;0;0
2003-02-20 16:00:00;1.08;1.1;1.07;1.07;27;0;0
2003-02-21 16:00:00;1.07;1.08;1.03;1.07;34;0;0
2003-02-24 16:00:00;1.06;1.13;1.06;1.09;46;0;0
2003-02-25 16:00:00;1.05;1.08;1.03;1.08;30;0;0
2003-02-26 16:00:00;1.07;1.08;1.03;1.03;32;0;0
2003-02-27 16:00:00;1.04;1.05;1.02;1.05;24;0;0
2003-02-28 16:00:00;1.02;1.06;0.99;1.05;42;0;0
2003-03-03 16:00:00;1.07;1.09;1.02;1.04;39;0;0
2003-03-04 16:00:00;1.04;1.05;1.02;1.03;22;0;0
2003-03-05 16:00:00;1.02;1.05;1.01;1.04;18;0;0
2003-03-06 16:00:00;1.04;1.05;1.02;1.03;15;0;0
2003-03-07 16:00:00;1.01;1.05;1.0;1.04;24;0;0
2003-03-10 16:00:00;1.03;1.04;1.01;1.01;14;0;0
2003-03-11 16:00:00;1.02;1.04;1.01;1.02;23;0;0
2003-03-12 16:00:00;1.03;1.05;1.02;1.05;19;0;0
2003-03-13 16:00:00;1.08;1.16;1.07;1.15;40;0;0
2003-03-14 16:00:00;1.16;1.17;1.11;1.12;30;0;0
2003-03-17 16:00:00;1.1;1.21;1.1;1.18;54;0;0
2003-03-18 16:00:00;1.18;1.19;1.15;1.18;33;0;0
2003-03-19 16:00:00;1.18;1.19;1.1400000000000001;1.18;40;0;0
2003-03-20 16:00:00;1.18;1.22;1.15;1.19;49;0;0
2003-03-21 16:00:00;1.23;1.24;1.13;1.18;66;0;0
2003-03-24 16:00:00;1.13;1.17;1.13;1.1400000000000001;33;0;0
2003-03-25 16:00:00;1.1400000000000001;1.19;1.1400000000000001;1.17;31;0;0
2003-03-26 16:00:00;1.2;1.22;1.19;1.2;28;0;0
2003-03-27 16:00:00;1.19;1.21;1.16;1.17;32;0;0
2003-03-28 16:00:00;1.17;1.17;1.1;1.12;38;0;0
2003-03-31 16:00:00;1.09;1.1;1.07;1.07;20;0;0
2003-04-01 16:00:00;1.1;1.12;1.07;1.11;35;0;0
2003-04-02 16:00:00;1.1400000000000001;1.17;1.13;1.15;30;0;0
2003-04-03 16:00:00;1.17;1.17;1.1400000000000001;1.16;23;0;0
2003-04-04 16:00:00;1.17;1.17;1.11;1.12;26;0;0
2003-04-07 16:00:00;1.19;1.2;1.12;1.13;41;0;0
2003-04-08 16:00:00;1.1400000000000001;1.1400000000000001;1.11;1.12;19;0;0
2003-04-09 16:00:00;1.12;1.15;1.11;1.11;29;0;0
2003-04-10 16:00:00;1.13;1.13;1.11;1.12;15;0;0
2003-04-11 16:00:00;1.13;1.1400000000000001;1.1;1.11;27;0;0
2003-04-14 16:00:00;1.09;1.13;1.09;1.12;21;0;0
2003-04-15 16:00:00;1.12;1.13;1.09;1.12;34;0;0
2003-04-16 16:00:00;1.1400000000000001;1.15;1.11;1.12;21;0;0
2003-04-17 16:00:00;1.13;1.1400000000000001;1.1;1.1400000000000001;26;0;0
2003-04-21 16:00:00;1.1400000000000001;1.17;1.13;1.17;22;0;0
2003-04-22 16:00:00;1.16;1.18;1.1400000000000001;1.18;27;0;0
2003-04-23 16:00:00;1.18;1.22;1.17;1.21;26;0;0
2003-04-24 16:00:00;1.21;1.21;1.16;1.17;28;0;0
2003-04-25 16:00:00;1.17;1.19;1.12;1.13;40;0;0
2003-04-28 16:00:00;1.1400000000000001;1.19;1.13;1.16;37;0;0
2003-04-29 16:00:00;1.19;1.22;1.18;1.2;25;0;0
2003-04-30 16:00:00;1.19;1.23;1.19;1.19;30;0;0
2003-05-01 16:00:00;1.19;1.21;1.18;1.2;23;0;0
2003-05-02 16:00:00;1.22;1.33;1.21;1.33;56;0;0
2003-05-05 16:00:00;1.34;1.42;1.32;1.3599999999999999;77;0;0
2003-05-06 16:00:00;1.35;1.3900000000000001;1.33;1.3599999999999999;50;0;0
2003-05-07 16:00:00;1.34;1.37;1.32;1.34;46;0;0
2003-05-08 16:00:00;1.32;1.3900000000000001;1.3;1.34;64;0;0
2003-05-09 16:00:00;1.5699999999999998;1.8;1.53;1.78;132;0;0
2003-05-12 16:00:00;1.79;1.83;1.72;1.73;65;0;0
2003-05-13 16:00:00;1.67;1.73;1.6600000000000001;1.7;39;0;0
2003-05-14 16:00:00;1.71;1.73;1.6800000000000002;1.7;38;0;0
2003-05-15 16:00:00;1.72;1.76;1.71;1.76;26;0;0
2003-05-16 16:00:00;1.73;1.8;1.73;1.77;44;0;0
2003-05-19 16:00:00;1.75;1.77;1.65;1.6600000000000001;57;0;0
2003-05-20 16:00:00;1.6800000000000002;1.7;1.67;1.69;21;0;0
2003-05-21 16:00:00;1.69;1.75;1.6800000000000002;1.74;34;0;0
2003-05-22 16:00:00;1.75;1.77;1.71;1.75;48;0;0
2003-05-23 16:00:00;1.75;1.78;1.73;1.74;37;0;0
2003-05-27 16:00:00;1.72;1.9;1.69;1.8900000000000001;102;0;0
2003-05-28 16:00:00;1.8900000000000001;1.9100000000000001;1.8399999999999999;1.8900000000000001;54;0;0
2003-05-29 16:00:00;1.8900000000000001;2.08;1.88;2.02;109;0;0
2003-05-30 16:00:00;2.21;2.22;2.15;2.18;42;0;0
2003-06-02 16:00:00;2.23;2.24;2.05;2.06;89;0;0
2003-06-03 16:00:00;2.04;2.17;2.01;2.1;97;0;0
2003-06-04 16:00:00;2.1;2.15;2.06;2.15;50;0;0
2003-06-05 16:00:00;2.13;2.22;2.1;2.22;65;0;0
2003-06-06 16:00:00;2.3;2.31;2.13;2.15;85;0;0
