time;open;high;low;close;tick_volume;spread;real_volume
2010-06-29;1.27;1.67;1.17;1.5899999999999999;1004;0;0
2010-06-30;1.72;2.03;1.55;1.5899999999999999;1229;0;0
2010-07-01;1.67;1.73;1.35;1.46;827;0;0
2010-07-02;1.53;1.54;1.25;1.28;499;0;0
2010-07-06;1.33;1.33;1.05;1.07;446;0;0
2010-07-07;1.09;1.11;1.0;1.05;271;0;0
2010-07-08;1.07;1.17;1.04;1.16;259;0;0
2010-07-09;1.17;1.19;1.1;1.16;253;0;0
2010-07-12;1.2;1.2;1.13;1.1400000000000001;125;0;0
2010-07-13;1.16;1.24;1.13;1.21;274;0;0
2010-07-14;1.19;1.34;1.18;1.32;289;0;0
2010-07-15;1.33;1.43;1.27;1.32;496;0;0
2010-07-16;1.38;1.42;1.33;1.37;245;0;0
2010-07-19;1.42;1.48;1.3900000000000001;1.46;213;0;0
2010-07-20;1.46;1.46;1.33;1.35;206;0;0
2010-07-21;1.38;1.3900000000000001;1.3;1.35;237;0;0
2010-07-22;1.3599999999999999;1.42;1.3599999999999999;1.4;127;0;0
2010-07-23;1.41;1.44;1.4;1.42;91;0;0
2010-07-26;1.43;1.43;1.35;1.3900000000000001;186;0;0
2010-07-27;1.3900000000000001;1.41;1.35;1.37;149;0;0
2010-07-28;1.37;1.3900000000000001;1.37;1.38;62;0;0
2010-07-29;1.38;1.3900000000000001;1.33;1.3599999999999999;135;0;0
2010-07-30;1.35;1.3599999999999999;1.3;1.33;153;0;0
2010-08-02;1.3599999999999999;1.4;1.35;1.3900000000000001;87;0;0
2010-08-03;1.4;1.46;1.3900000000000001;1.46;132;0;0
2010-08-04;1.46;1.48;1.3900000000000001;1.42;198;0;0
2010-08-05;1.43;1.44;1.33;1.3599999999999999;192;0;0
2010-08-06;1.34;1.34;1.3;1.3;78;0;0
2010-08-09;1.32;1.33;1.29;1.31;77;0;0
2010-08-10;1.31;1.31;1.25;1.27;105;0;0
2010-08-11;1.24;1.26;1.19;1.19;128;0;0
2010-08-12;1.19;1.19;1.16;1.17;83;0;0
2010-08-13;1.21;1.23;1.18;1.22;145;0;0
2010-08-16;1.23;1.25;1.22;1.25;76;0;0
2010-08-17;1.26;1.29;1.25;1.27;106;0;0
2010-08-18;1.3;1.3;1.24;1.25;117;0;0
2010-08-19;1.23;1.28;1.22;1.25;160;0;0
2010-08-20;1.24;1.27;1.23;1.27;76;0;0
2010-08-23;1.27;1.3599999999999999;1.27;1.34;175;0;0
2010-08-24;1.28;1.31;1.26;1.28;148;0;0
2010-08-25;1.28;1.33;1.24;1.32;211;0;0
2010-08-26;1.32;1.35;1.31;1.32;121;0;0
2010-08-27;1.32;1.32;1.3;1.31;70;0;0
2010-08-30;1.31;1.34;1.31;1.32;100;0;0
2010-08-31;1.31;1.32;1.29;1.3;75;0;0
2010-09-01;1.31;1.38;1.31;1.3599999999999999;136;0;0
2010-09-02;1.3599999999999999;1.41;1.35;1.4;118;0;0
2010-09-03;1.3900000000000001;1.42;1.38;1.4;111;0;0
2010-09-07;1.37;1.4;1.3599999999999999;1.37;94;0;0
2010-09-08;1.38;1.3900000000000001;1.37;1.3900000000000001;47;0;0
2010-09-09;1.4;1.4;1.38;1.38;44;0;0
2010-09-10;1.38;1.3900000000000001;1.32;1.34;177;0;0
2010-09-13;1.3900000000000001;1.3900000000000001;1.3599999999999999;1.38;64;0;0
2010-09-14;1.37;1.44;1.37;1.41;157;0;0
2010-09-15;1.4;1.47;1.38;1.46;143;0;0
2010-09-16;1.47;1.54;1.3900000000000001;1.3900000000000001;344;0;0
2010-09-17;1.4;1.42;1.32;1.35;226;0;0
2010-09-20;1.38;1.42;1.34;1.4;200;0;0
2010-09-21;1.3900000000000001;1.44;1.38;1.38;165;0;0
2010-09-22;1.3900000000000001;1.3900000000000001;1.32;1.32;131;0;0
2010-09-23;1.32;1.34;1.3;1.3;96;0;0
2010-09-24;1.33;1.34;1.31;1.34;94;0;0
2010-09-27;1.3599999999999999;1.3900000000000001;1.33;1.37;140;0;0
2010-09-28;1.4;1.43;1.38;1.42;111;0;0
2010-09-29;1.41;1.47;1.41;1.46;102;0;0
2010-09-30;1.47;1.47;1.34;1.3599999999999999;233;0;0
2010-10-01;1.38;1.38;1.35;1.37;80;0;0
2010-10-04;1.3599999999999999;1.41;1.35;1.4;119;0;0
2010-10-05;1.41;1.42;1.4;1.41;52;0;0
2010-10-06;1.4;1.42;1.35;1.3599999999999999;129;0;0
2010-10-07;1.37;1.37;1.35;1.3599999999999999;47;0;0
2010-10-08;1.3599999999999999;1.38;1.3599999999999999;1.3599999999999999;81;0;0
2010-10-11;1.3599999999999999;1.38;1.34;1.35;107;0;0
2010-10-12;1.35;1.35;1.33;1.35;47;0;0
2010-10-13;1.37;1.3900000000000001;1.3599999999999999;1.37;89;0;0
2010-10-14;1.4;1.4;1.3599999999999999;1.38;102;0;0
2010-10-15;1.3900000000000001;1.3900000000000001;1.35;1.37;96;0;0
2010-10-18;1.37;1.37;1.35;1.35;56;0;0
2010-10-19;1.35;1.3599999999999999;1.33;1.33;68;0;0
2010-10-20;1.34;1.38;1.33;1.38;82;0;0
2010-10-21;1.37;1.3900000000000001;1.3599999999999999;1.38;87;0;0
2010-10-22;1.38;1.3900000000000001;1.37;1.38;73;0;0
2010-10-25;1.3900000000000001;1.4;1.38;1.3900000000000001;42;0;0
2010-10-26;1.3900000000000001;1.46;1.37;1.42;217;0;0
2010-10-27;1.42;1.42;1.38;1.4;122;0;0
2010-10-28;1.42;1.43;1.4;1.41;89;0;0
2010-10-29;1.41;1.46;1.4;1.45;91;0;0
2010-11-01;1.46;1.52;1.42;1.43;236;0;0
2010-11-02;1.44;1.46;1.4;1.42;124;0;0
2010-11-03;1.42;1.5;1.41;1.45;220;0;0
2010-11-04;1.51;1.69;1.47;1.6600000000000001;407;0;0
2010-11-05;1.6600000000000001;1.6600000000000001;1.58;1.63;208;0;0
2010-11-08;1.63;1.67;1.6;1.6600000000000001;147;0;0
2010-11-09;1.67;1.71;1.6;1.6400000000000001;292;0;0
2010-11-10;1.63;2.0;1.6;1.96;697;0;0
2010-11-11;1.9100000000000001;1.94;1.8199999999999998;1.87;298;0;0
2010-11-12;1.88;2.03;1.87;1.99;328;0;0
2010-11-15;2.01;2.19;2.01;2.05;487;0;0
2010-11-16;2.07;2.09;1.8900000000000001;1.98;464;0;0
2010-11-17;2.01;2.05;1.9100000000000001;1.96;358;0;0
2010-11-18;2.04;2.05;1.9300000000000002;1.99;287;0;0
2010-11-19;2.01;2.09;1.98;2.06;252;0;0
2010-11-22;2.1;2.23;2.1;2.23;208;0;0
2010-11-23;2.22;2.38;2.14;2.3;571;0;0
2010-11-24;2.35;2.4;2.29;2.36;309;0;0
2010-11-26;2.37;2.4;2.32;2.35;223;0;0
2010-11-29;2.36;2.4;2.22;2.29;417;0;0
2010-11-30;2.25;2.35;2.23;2.35;226;0;0
2010-12-01;2.39;2.43;2.23;2.29;443;0;0
2010-12-02;2.27;2.2800000000000002;2.08;2.16;455;0;0
2010-12-03;2.13;2.15;2.06;2.1;225;0;0
2010-12-06;2.09;2.1;1.97;2.02;275;0;0
2010-12-07;2.03;2.16;2.0;2.1;364;0;0
2010-12-08;2.16;2.16;2.1;2.16;184;0;0
2010-12-09;2.17;2.18;2.11;2.13;169;0;0
2010-12-10;2.13;2.19;2.07;2.1;306;0;0
2010-12-13;2.11;2.12;2.03;2.04;166;0;0
2010-12-14;2.02;2.02;1.85;1.9;351;0;0
2010-12-15;1.9100000000000001;2.0;1.9;1.97;196;0;0
2010-12-16;2.0;2.06;1.98;2.05;172;0;0
2010-12-17;2.09;2.1;2.05;2.09;165;0;0
2010-12-20;2.11;2.14;2.08;2.11;181;0;0
2010-12-21;2.12;2.18;2.11;2.15;151;0;0
2010-12-22;2.15;2.19;2.11;2.17;195;0;0
2010-12-23;2.08;2.16;1.99;2.0;396;0;0
2010-12-27;1.87;1.9;1.67;1.7;458;0;0
2010-12-28;1.72;1.78;1.67;1.76;295;0;0
